name,count
shandwick place,3
managed,2
dish,2
finally,2
friendly,5
dessert,2
princes street,2
quick,2
main courses,2
voucher,3
opted,2
find,2
shared,3
carbonara,2
full,4
parma ham,2
great,3
experience,2
menu,4
pasta,4
visit,2
recommend,3
started,2
excellent,3
starter,2
share,4
italian restaurant,2
place,3
pizza,5
edinburgh,5
staying,2
tomato,2
order,3
wine,2
perfect,3
main,3
sauce,2
evening,3
return,2
food,7
lunch,2
half,3
day,3
mushrooms,4
risotto,2
didn,3
meal,4
expect,2
wasn,2
service,6
2,2
friend,2
showed,3
seated,2
efficient,2
recommended,2
don,2
left,2
mains,2
chicken,5
fine,2
staff,6
starters,2
pretty,2
restaurants,2
decided,2
bought,2
restaurant,4
headed,2
house merlot,2
2 mains,2
expensive,2
decent,2
taste,2
beer,2
lovely,3
priced,2
pleasantly surprised,2
great service,2
welcoming,3
ve,3
good,10
partner,2
split,2
week,2
finish,3
garlic,3
asked,3
bottle,2
fact,2
parents,3
la piazza,10
served,2
arrived,2
back,4
table,4
found,2
dinner,2
due,2
area,5
happy,2
eat,2
ordered,5
tasty,4
£10,2
nice,4
pizzas,3
time,6
