name,count
love thai food,2
pad thai,7
yummy,2
charge,3
starter,3
friendly,3
red curry,3
quick,2
drinks,2
enjoyed,4
told,2
great,3
makes,3
options,2
love,3
brought,3
visit,3
excellent,4
town,2
great place,2
salad,2
making,2
prompt,2
give,2
heard,2
dinner,5
hot,2
edinburgh,6
cutlery,2
chicken satay,3
find,3
spicy food,2
phuket pavillion,5
ll,3
amazing,4
good,4
return,2
food,15
didn,3
found,2
meal,3
girl,2
thai restaurants,3
rice,3
flawless,2
delicious,7
wasn,3
owner,2
quality,2
service,13
top,2
ordered,2
friend,3
thai,3
papaya salad,2
pre,3
dishes,2
don,2
seafood,2
place,5
atmosphere,4
mains,2
gaeng dang,2
curry dishes,3
chicken,3
pleased,2
staff,3
menu,6
crime,2
starters,2
phuket,2
preferred,2
thai restaurant,2
duck,3
decided,2
noodles,3
diners,2
restaurant,3
asked,5
gorgeous,2
point,2
seasoned,2
excellent service,2
lovely,6
pricey,2
brilliant,2
ve,7
evening,2
partner,3
priced pre,2
theatre menu,4
spent,2
thought,3
bottle,2
book,3
bit,6
disappointed,3
night,3
served,2
highly recommend,2
back,7
table,3
egg fried rice,2
thailand,4
curry,3
eaten,2
mushrooms,2
happy,2
phuket pavilion,4
spicy,5
recommend,2
eat,2
made,2
wife,2
tasty,5
cream,2
overly sweet,2
nice,2
polite,2
friends,3
meals,2
thai food,5
time,7
fresh,3
