name,count
lack,2
leith,8
pretty decent,2
friendly,5
dessert,3
fan,2
duke street,3
cool,2
level,2
round,2
burger,2
drinks,9
full,3
kids,2
love,3
tap,3
visit,5
call,3
beers,5
£3,3
reviews,2
give,3
sample,2
vibe,2
pinball machine,3
pint,3
edinburgh,2
brunch menu,2
times,2
things,3
order,2
find,6
style,3
menus,2
ll,5
rosemary roasties,2
spacious,2
good,6
food,11
foot,3
day,3
personally,3
didn,4
toasted,2
found,3
side,3
fish,4
idea,3
opened,3
drink,4
pub,5
imagine,2
put,4
ate,2
waiter,2
pretty busy,2
area,4
thing,2
place,17
moving,2
feel,2
delicious,3
wasn,6
guess,2
ordering,2
top,2
night,2
stars,2
part,4
future,2
light,2
popped,3
eggs irvine welsh,3
price,3
don,5
lots,2
atmosphere,3
rough,2
fine,3
enjoyed,3
staff,3
front,2
menu,8
joseph malik,2
regularly,2
plate,2
bar,5
bad,3
husband,2
fluffy,2
decided,2
close,2
wiener schnitzel,2
tend,2
arrival,2
mary moriarty,2
kitchen,2
chorizo,2
asked,2
sweet,2
walk,2
table,2
lioness,10
mark,2
beer,4
lovely,4
life,2
prices,5
brunch,4
poached eggs,2
case,2
ve,5
tasty food,2
decor,2
make,4
events,2
pubs,3
burgers,2
tesco,2
tables,2
point,2
surprised,2
lacking,3
big,4
couple,3
bit,5
50,3
people,2
back,9
trendy,2
liking,2
chips,4
hipster,2
super hipster,2
plumped,2
meal,2
dinner,2
lol,4
ve popped,2
wouldn,3
happy,5
offer,3
pleased,2
eat,4
made,4
places,2
ordered,5
taste,2
doesn,3
drinkable,2
tasty,3
chat,2
roll,2
nice,8
weekend,3
sides,2
time,5
