name,count
people,2
received,2
radish noodles,2
sashimi,4
dressing,2
friendly,4
fan,2
specials,2
drinks,3
waitress,2
opted,2
great,5
experience,2
visit,3
6,2
today,2
town,4
tempura prawn,2
work,2
give,3
end,3
thing,3
hot,2
bonsai,8
edinburgh,8
spot,3
decor,2
ball,2
remember,2
prawns,2
waited,2
order,6
group,2
avocado,3
sushi fix,2
combination,2
food,11
wasabi,3
lunch,3
front,3
day,2
meat,2
didn,3
broughton street,2
fish,3
expect,2
pickled ginger,2
love sushi,2
small,3
wanted,2
ate,2
couldn,2
waiter,3
place,8
isn,2
wasn,4
quality,3
city,2
service,6
top,2
2,3
loved,3
sat,2
dishes,2
price,2
knew,3
salmon,2
rainbow rolls,2
don,5
staff,4
menu,7
waiting,2
rice,2
dozen times,2
decided,2
close,2
terms,2
japanese food,3
opening,2
restaurant,6
sweet,3
scallop,4
table,3
nigiri,3
lovely,4
gross,2
worked,3
sit,2
ve,6
wouldn,2
sushi,10
good,5
maki,3
bowl,2
tuna,2
thought,3
things,3
money,2
bit,4
tables,5
4,2
time round,2
miso soup,4
50,2
served,5
back,5
10,2
2 pieces,2
dinner,3
lot,2
fishy,2
eat,5
made,6
japanese cuisine,2
original bonsai,2
highlight,2
ordered,8
taste,3
doesn,3
wont,2
portion,2
branch,2
roll,2
nice,5
felt,2
time,7
fresh,4
