name,count
managed,2
manager,2
worth,3
dessert,2
cool,3
round,2
hasn,2
opinion,2
sharing,2
glass,2
90,2
£6,3
give,2
tapas,2
group,2
food,4
lunch,2
didn,2
idea,2
nice,2
staff curry,2
place,5
waitress,2
size,2
sadly,2
service,3
top,2
biggest,2
naans,2
seated,2
dishes,2
mouth,2
mains,2
find,2
staff,2
busy,2
menu,3
rice,2
meant,2
flavour,2
bar,2
hype,2
mixed pakora,2
won,2
mixed bag,2
restaurant,2
point,2
expensive,2
beer,2
flight,2
priced,3
deep,4
bill,2
craft beers,2
ve,5
middle,2
make,3
9,2
arrived,3
left,2
tables,2
4,2
bit,2
50,2
naan,3
back,5
tasty,2
dinner,2
curry,3
forward,3
don,5
spice,3
made,2
ordered,2
friends,2
time,2
