name,count
tweet,2
worth,4
jack,8
leith,2
haggis,5
street,3
good things,2
told,3
mex,7
dry,2
items,2
fajitas,6
brought,2
music,4
recommend,2
type,6
brewdog,2
£5,2
£6,2
work,5
buffalo wings,2
thing,4
hot,3
place,28
mess,3
wrong,5
salsa,12
order,12
expectations,2
meat,6
filling,6
meal,2
venue,2
pinto beans,7
wanted,3
greasy,2
isn,3
delicious,8
wasn,3
choice,3
service,3
top,3
listen,2
frankly,3
mind,2
regular,3
plenty,5
nachos,11
don,15
jalapenos,6
reserve,2
enjoyed,3
busy,2
menu,8
chipotle,3
rice,5
learned,2
spanish rice,2
bad,2
decided,4
terms,2
kitchen,7
asked,7
beef,6
beer,2
lovely,3
life,2
kudos,2
suppose,2
mexico,2
things,7
make,8
carnitas,7
left,2
50,2
night,3
people,9
dinner,2
good tex,3
quiet,2
nice touch,2
happy,4
head,2
flavour,2
roll,2
time,10
stick,2
concept,2
managed,2
chain,2
atmosphere,3
burritos,16
hold,2
finally,4
tacos,6
cool,3
mex food,2
subway,5
quick,4
guy,2
pork,5
cost,2
eating,6
drinks,3
change,3
rushing back,2
queue,3
love,10
extra,2
give,4
visit,4
live,3
beers,3
edible,2
reviews,3
awesome,3
heard,2
edinburgh,10
spot,2
guys,2
man,2
remember,4
talk,2
serving,2
years,2
ended,3
lunch,3
half,3
drop,2
realise,2
rock,2
girl,2
salads,2
opened,5
space,2
california,5
advance,2
couldn,2
honest,3
yum,3
massive,3
cheese,6
long,2
size,2
bite,3
boyfriend,2
great beer,2
thistly cross cider,2
tasted,2
sat,2
efficient,3
price,3
paid,2
hungry,3
rating,2
cheap,6
corner,2
morning,2
tortilla,3
seat,3
review,5
3,2
reading,2
boat,2
roasted salsa,2
hot salsa,2
veggie chilli,2
pay,4
granted,2
decor,2
mexican food,4
finish,5
burrito,27
money,5
touch,2
flavor,2
disappointed,4
fillings,4
decent,3
sides,3
start,2
lot,6
spicy,3
spice,2
ll find,2
taste,5
describe,3
tasty,4
fill,2
5,2
steak burrito,2
dish,2
sitting,2
fan,2
large,3
small,2
tex,7
veggie options,2
table,10
inspired,2
experience,3
amount,2
pick,2
options,2
guacamole,8
takes,2
charge,2
fussed,2
basically,3
glad,2
share,4
huge,9
quesadilla,4
coming,3
mexican,4
sauce,2
wouldn,5
good,17
tasty food,2
food,24
struggling,2
found,5
hard,4
idea,4
expect,4
research,2
bit bland,2
pleasant,3
reason,3
put,2
loads,2
american,3
guac,4
feel,3
number,3
bland,3
miss,2
part,2
kind,7
eat lunch,2
outstanding,2
scotland,6
finding,2
leave,2
eaten,4
clear,2
clean,3
realised,3
fine,4
find,5
pretty,5
hit,2
rest,2
tender,2
visiting,2
movie,2
determined,2
attention,2
salsas,2
restaurant,7
expensive,3
due,2
peppers,2
wait,6
empty,3
priced,3
understand,2
prices,4
pleasantly surprised,2
ready,2
dark,2
cup,2
customers,2
big,4
couple,4
bit,7
wings,2
back,6
good selection,3
run,2
beans,11
impressed,7
fast,5
line,4
uk,2
similar,2
ordered,4
doesn,5
nice,5
prepared,2
score,2
cooked,4
fresh,5
mild salsa,2
pizza hut,2
friendly,7
ingredient,2
facebook,2
odd,2
waiting,4
invented,2
great,11
spices,2
makes,2
social media,2
sort,4
started,2
quesadillas,5
onions,3
sit,5
previous comments,2
beef burrito,2
counter,8
louisiana hot sauce,3
takeaway,2
tex mex,3
perfect,3
1,2
ll,7
chicken burrito,4
choose,6
mention,3
front,5
day,6
chicken wings,3
special,2
completely,2
chilli,3
sour cream,9
times,5
quesedilla,2
owner,2
quality,5
loved,2
haggis burrito,4
thistly cross,2
visited,2
illegal jack,15
dishes,2
mix,2
face,2
looked,3
fact,3
selection,2
chicken,9
staff,9
won,4
hope,3
glasgow,3
stuff,2
grab,2
deliver,2
merry,2
seasoned,2
ve,12
surprisingly,2
drink,4
beast,2
thought,2
keen,2
simple,6
add,7
book,4
kick,4
brew dog beer,2
illegal jacks,11
works,3
didn,6
twitter,6
home,2
decent burrito,2
lothian road,4
toppings,2
added bonus,3
coke,2
eat,9
made,12
places,5
excitement,3
problem,2
compared,2
ingredients,2
chance,2
friends,6
extras,3
