name,count
fish cakes,2
worth,3
town,3
drinks,2
scallops,7
full,2
mussels,8
great,6
love,2
recommend,3
started,2
starter,2
langoustines,3
great place,4
friendly,2
soup,3
give,2
awesome,2
high,2
heard,2
amazing,3
place,7
edinburgh,5
sneak,2
oysters,6
wine,2
seafood platter,2
ll,2
main,3
good,14
return,2
food,10
lunch,4
found,3
meal,2
5 star,2
fish,5
special,2
wanted,2
thing,2
expecting,2
waitress,2
delicious,4
wasn,4
quality,2
city,4
service,11
wonderful,2
lot,2
kind,3
sublime,2
mind,2
thought,2
mouth,2
order,3
atmosphere,2
bring,2
fine,2
enjoyed,5
staff,3
menu,5
chips,5
husband,2
sea,2
great food,3
lots,2
seafood,4
restaurant,6
walk,2
fishers,7
lovely,4
life,3
priced,5
attentive,2
ve,4
things,2
make,2
hand,3
left,2
money,2
fantastic,2
family,2
point,2
4,3
5 stars,2
world,2
bit,2
night,3
didn,4
highly recommend,2
back,4
divine,2
dinner,3
curry,2
visit,4
start,2
happy,2
spicy,2
made,3
portions,2
problem,2
average,2
ordered,4
taste,2
tasty,3
incredible,4
highly recommended,2
reservation,3
friends,2
lemon sole,2
glass,3
cooked,2
time,3
fresh,3
