name,count
great,5
experience,2
give,2
restaurant,2
marchmont,3
end,2
sit,2
pizza,5
rude,2
wrong,2
whilst,2
coffee,4
good,6
food,4
half,2
didn,2
cafe artista,6
found,2
expect,2
sitcom,2
place,4
waitress,2
delicious,3
owner,6
service,3
sat,4
don,3
clear,2
enjoyed,2
staff,4
menu,2
lovely,2
decor,3
pay,2
difficult,2
simple,2
real,2
customers,3
big,2
world,2
bit,3
back,2
table,4
stand,2
recommend,3
made,3
tasty,2
cafe,4
nice,3
time,4
pizzas,2
friends,2
yelp,2
