name,count
forget,3
friendly,2
royal mile,7
haggis,2
bacon,2
burger,2
cost,2
sausage,2
great,2
love,2
visit,2
pretty,3
warm,2
end,2
write,2
located,2
edinburgh,6
staying,2
long day,2
remember,2
pepperoni calzone,2
london,2
feel,2
coffee,3
good,5
food,10
lunch,3
day,2
didn,5
filling,2
found,2
meal,2
fish,2
ate,3
place,5
castle,2
wasn,2
quality,2
service,4
hotel,2
serve,2
part,2
kind,2
steak,2
breakfast,2
eggs,2
don,3
main meals,2
find,3
staff,2
busy,2
garfunkels,4
menu,2
chips,6
morning,2
bad,3
husband,2
won,2
garfunkel,4
restaurant,3
decent,2
priced,2
attentive,2
bill,2
weren,2
ve,3
trip,2
arrived,2
thought,2
burgers,2
money,2
rest,2
doors,2
world,2
bit,2
occasions,2
served,3
back,2
expensive,2
eating,2
dinner,4
sightseeing,2
eat,2
portions,2
ordered,5
doesn,2
tasty,2
nice,2
felt,2
friends,2
wifi,2
