name,count
hate,2
worth,4
bacon,3
established,2
pancakes,6
changed,2
music,3
recommend,3
evening,3
warm,3
£8,2
honest,3
end,5
thing,2
types,2
attempt,2
order,4
satisfied,2
london,2
writing,2
coffee,2
good,15
side,6
saturday,3
american diners,2
days,3
lousy,2
loud,2
enjoy,2
delicious,3
wasn,8
thick,2
service,6
top,2
skinny fries,2
don,11
enjoyed,4
toast,2
menu,8
theme,3
bar,8
bad,2
fair,2
decided,3
lots,2
glasgow,2
adding,2
kitchen,3
chrome,2
quickly,2
lovely,2
catch,3
chill,2
weren,2
breakfast,7
things,3
make,4
burgers,2
nachos,2
left,2
transformed,2
50,7
night,5
people,4
shakes,2
diner,2
dinner,2
free wifi,2
home fries,2
head,2
felt,3
weekend,3
time,14
managed,4
choice,3
cool,3
leave,2
eating,2
drinks,6
shared,2
filled,2
rushing back,2
american diner experience,2
love,5
visit,2
live,2
beers,3
edinburgh,8
huge,3
remember,4
lunch,4
didn,7
year,2
american diner thing,2
impressed,3
couldn,4
place,21
cheese,2
fast,2
friend,4
boyfriend,2
tasted,3
wandered,2
interior,2
average,2
hungry,2
cheap,3
corner,3
black,2
milkshakes,3
morning,2
seat,3
3,2
august,2
breakfasts,2
ultimate burger challenge,2
alcoholic,2
bowl,2
finish,4
booths,4
money,2
served,4
nice,6
seating,3
fringe,2
area,2
start,3
hire,4
huge fan,2
tasty,5
fill,2
sausages,2
sitting,2
past,3
burger,9
opted,2
full,4
free,3
experience,4
milkshake,4
options,2
chunky,2
door,2
stick,3
town,5
pool table,8
bloody mary,2
late,2
food,18
found,2
idea,2
expect,3
friday,2
number,2
part,2
kind,3
supposed,2
juicy,2
orders,2
clear,2
fine,3
find,4
bars,2
nutella,2
bar chrome shined,2
meal,4
missing,2
restaurant,3
point,3
sweet,3
crispy,3
bill,2
leaving,2
decor,2
apache burger,4
9,2
spent,2
grilled pineapple,2
tables,2
cut,2
excited,2
surprised,2
big,2
couple,5
bit,7
maple syrup,4
back,15
plenty,2
forward,2
windows,2
ordered,6
ten minutes,2
cooked,3
fresh,2
royal mile,2
booth,2
odd,2
great,9
food isn,2
city café,2
sort,4
pretty,3
pour,2
vibe,3
struggled,2
establishment,2
whilst,2
ll,7
covered,2
jukebox,2
front,4
day,7
special,2
times,3
waitress,3
quality,3
long,3
lot,3
dishes,3
looked,2
occasion,2
atmosphere,3
staff,4
based,2
hadn,2
winner,2
means,2
years,3
chips,8
venue downstairs,2
american diner,3
walk,2
table,7
decent,3
burger challenge,4
brunch,5
ve,10
drink,5
variety,2
thought,3
city cafe,21
seats,2
promise,2
*,3
bun,3
eat,4
made,2
minutes,3
birthday party,2
star,2
friends,5
