name,count
month,2
worth,2
told,3
french,3
love,3
hour,2
friendly,2
soup,2
end,3
counter,2
wine,2
ll,3
coffee,3
good,3
food,4
half,2
haymarket,2
day,3
didn,3
stopped,3
salads,2
place,8
delicious,3
wasn,2
city,2
service,2
top,2
wonderful,2
friend,2
12,2
dishes,2
sandwiches,4
main meals,2
chicken,2
staff,2
based,3
menu,2
smoked salmon,2
le marche francais,4
brunch,2
ve,2
cafe,2
lunch,2
bit,2
back,3
afternoon,3
pastries,2
area,2
head,2
offer,2
relaxed,2
flavour,2
inside,3
ordered,2
book,2
time,2
fresh,2
