name,count
fountain park,2
worth,3
venue,2
street,2
meals,2
told,2
warm,6
excellent,3
£4,2
£5,3
word,2
give,4
table,3
amazing,2
place,17
enter,2
order,4
coffee,2
bread,3
filling,2
sticky toffee pudding,2
side,8
surprise,2
size,3
wanted,2
days,3
isn,4
wasn,7
service,6
top,5
happily,2
serve,2
modern,2
mine,3
recommended,2
gravy,3
opted,4
don,7
menu,8
rich,2
bar,12
nicely,3
decided,3
lots,6
check,4
terms,2
tables,5
fault,2
asked,2
beef,3
beer,2
lovely,4
personally,2
weren,2
customers,2
shame,3
things,3
make,4
pubs,3
possibly,2
left,2
transformed,2
people,2
price,2
dinner,4
stuck,3
offer,2
dead,2
inside,2
average,3
crumbly,2
weekend,2
time,8
managed,2
show,2
choice,5
cool,3
weeks ago,2
round,2
beer selection,2
drinks,5
appears,2
love,5
prefer,2
visit,6
creamy,2
beers,5
beef shin pie,2
awesome,2
sunday,2
pint,2
edinburgh,5
man,3
ended,2
group,2
interesting,2
main,5
lunch,2
previous incarnation,2
didn,3
girl,2
living,2
opened,2
couldn,2
honest,3
heard good things,2
appreciated,3
pre,2
opposite,2
cheap,2
bright,2
écor,2
flavour,2
case,4
bathrooms,2
trip,2
week,2
cheers,2
disappointed,2
served,3
seating,3
tvs,2
felt,2
meal,2
road,5
area,4
lot,5
cinema,3
mash,2
leith,3
dish,2
decide,2
small,2
full,2
takes,2
6,2
excuse,3
town,7
share,3
huge,3
coming,3
paper,2
wouldn,2
good,8
food,13
walls,2
stopped,2
found,4
delicious,2
fish,5
hard,2
fountain,19
pub,6
pleasant,2
put,2
feel,4
feet,2
bland,2
heads,2
passed,2
fine,3
find,4
restaurants,2
tender,3
spirits,2
visiting,2
movie,2
won,4
recently,2
great selection,2
point,3
expensive,2
pricey,2
prices,6
pleasantly surprised,2
bill,3
encountered,2
decor,3
arrived,2
excited,2
big,2
couple,2
bit,6
knock,2
back,8
sauces,3
long,2
ordered,5
nice,8
beef pie,3
cooked,2
fresh,3
friendly,7
dessert,4
waiting,2
meet,2
great,4
popcorn,2
opinion,2
gastro,2
doubt,3
popped,2
starter,2
salad,3
tap,4
lamb,2
sit,3
vibe,2
whilst,4
perfect,3
ll,7
day,2
ambiance,2
completely,2
waitress,3
blown,2
quality,5
sadly,2
looked,5
fact,4
selection,3
staff,8
hadn,2
gelatinous,2
local,3
hope,3
chips,8
limits,2
welcoming,2
ve,6
party,3
drink,5
variety,2
thought,4
match,2
pies,2
lost,2
home,3
eat,5
made,2
places,4
pie,2
friends,2
portion,2
