name,count
grassmarket,2
friendly,3
salad,5
bacon,2
opted,3
tuesdays,2
weeping tiger wraps,2
great,2
love,2
music,2
walnut salad,2
95,2
£2,2
£3,2
soup,2
foodies,2
give,2
amazing,2
edinburgh,3
guys,3
remember,2
order,2
bunch,2
ll,3
coffee,5
food,3
lunch,4
half,2
salads,5
times,2
thing,3
place,6
wasn,2
top,2
bits,2
mind,2
efficient,2
play,2
soups,3
chicken,2
staff,4
wraps,2
menu,2
hope,2
morning,2
fair,2
joe,2
priced,2
pulled pork,2
ve,3
banter,2
fridays,2
money,2
works,2
back,4
paninis,3
rolls,3
long,3
eat,3
made,2
flavour,2
tasty,2
check,3
make,3
pear,2
time,2
