name,count
lack,2
manager,2
juicy,2
friendly,3
royal mile,3
bacon,2
burger,10
drinks,2
waiting,2
dry,2
great,5
love,2
sweet potato fries,2
beers,4
reviews,2
sitting,2
tasty burger,2
mac,2
overcooked,2
order,3
ll,3
wouldn,2
good,4
food,3
meat,2
didn,3
beers grillhouse,2
special,2
space,2
drink,2
reason,2
loads,2
couldn,2
place,8
cheese,2
wasn,2
option,2
loved,3
seated,2
mine,2
sat,2
build,2
price,3
don,4
hungry,2
nice place,2
fact,2
enjoyed,2
staff,4
mac attack,2
busy,2
menu,3
hash brown,2
chips,2
set,2
won,2
brinner,2
fried egg,2
edinburgh,4
patty,2
table,2
crispy,2
expensive,2
beer,5
wait,2
tasteless,2
onion rings,2
ve,3
pay,2
make,2
beer list,2
burgers,10
rest,2
rocked,2
tables,2
read,3
big,3
couple,3
makes,2
server,2
night,2
served,4
nice,2
back,5
comparison,2
long,2
sides,3
bun,3
eat,2
made,3
places,2
fries,7
taste,3
doesn,2
tasty,4
check,2
included,2
meals,2
time,2
