name,count
brunch,3
row,2
starter,3
couscous,2
friendly,4
dessert,5
choice,2
specials,2
cosy,3
shared,2
staff,7
full,3
chose,3
change,2
wait,3
great,5
weird,2
makes,2
fantastic,2
love,7
visit,4
squid,2
glass,3
warm,3
£5,2
£6,2
salad,3
beautiful,2
honey,2
salty,2
amazing,2
disappoint,2
mains,2
edinburgh,2
wrong,2
wine,2
equally,2
birds,5
perfect,3
group,2
ll,2
good,3
food,8
day,3
coriander,2
meat,2
didn,3
courses,2
delicious,8
wasn,2
ice cream,2
space,3
crispy pigs ears,2
assured,2
days,2
times,3
place,7
newington,2
enjoy,2
time,3
friend,2
loved,3
kind,3
offer,2
interior,2
relaxed,3
pistachio,2
don,2
fact,2
atmosphere,2
find,2
busy,2
menu,10
starters,2
hit,2
feels,2
flavour,2
chips,3
enjoyed,2
decided,2
glad,2
lots,3
heading back,2
tables,3
restaurant,3
similar,2
rocky road,2
crispy,2
duck confit,2
lovely,3
case,2
main,4
ve,3
sister restaurant,5
decor,2
booths,3
theatre menu,2
delight,2
lunch,3
thought,2
bit,2
50,3
served,3
people,2
back,5
meal,2
dinner,3
suited,2
start,2
lot,4
forward,3
happy,2
pigs ears,3
made,2
romantic,2
fries,2
apiary,11
ordered,3
tasty,6
£15,2
nice,2
smiles,2
cooked,4
fresh,2
