name,count
managed,2
hint,2
grassmarket,3
starter,3
ambience,2
enjoying,2
presentation,2
worth,5
advantage,2
dessert,3
choice,2
royal mile,2
room,3
haggis,5
snails,2
uk,2
drinks,2
french,7
wait,4
boy,2
great,5
haggis balls,5
chef,2
duck,3
small rooms,2
started,2
glad,3
friendly,4
give,4
sample,2
maison bleue,8
located,2
amazing,2
edinburgh,6
lighting,2
coming,2
mussels,5
thought,3
make,3
wine,4
mentioned,2
perfect,2
ll,3
window,2
atmospheric gloominess,2
main,9
sauce,2
wouldn,2
evening,2
food,14
potatoes,2
didn,3
meal,3
upstairs,2
fish,3
favourite restaurant,2
put,2
waiter,3
times,3
thing,2
place,13
isn,2
cheese,2
floors,2
delicious,3
wasn,4
quality,2
city,3
service,7
wonderful,2
tagine,3
loved,3
lovely view,2
seated,2
town building,2
fabulous,3
candles,2
pre,2
close,2
north african,2
terrific,2
recommended,2
interior,2
salmon,3
don,4
order,6
victoria street,4
atmosphere,4
mains,4
enjoyed,3
staff,6
menu,8
eat,3
starters,5
plate,2
12,2
perfection,2
bad,3
busy time,2
steak,3
arrival,2
decided,2
lots,2
3,2
won,2
restaurant,7
table,7
expensive,2
offers,2
lovely,3
ambiance,2
attentive,2
suppose,2
wait staff,2
ve,5
ribeye,2
good,12
decor,5
suggest,2
lunch,6
tables,5
venison,2
bread,2
easily,2
couple,2
bit,2
disappointed,3
50,3
creme brulee,2
back,4
courses,3
intimate,3
dinner,4
july 2013,2
area,2
long,4
stars,2
happy,3
made,2
romantic,2
places,2
ll find,2
ordered,3
2 courses,2
taste,2
tasty,2
stumbled,2
£15,2
labyrinth,2
book,2
smell,2
nice,5
meaning,2
reservation,2
building,2
booked,3
cooked,2
time,10
