name,count
pay,4
salad,2
leave,2
quick,2
eating,2
drinks,7
groups,2
great,5
pick,2
student discount,2
lime,2
visit,2
door,2
aware,2
glass,2
warm,2
beers,2
hour,3
work,3
friendly,2
dazed,2
arrive,2
give,2
thing,3
place,10
edinburgh,5
watch,2
sit,4
order,5
wine,2
years,2
located,2
ll,2
good place,2
coffee,2
good,11
food,16
lunch,2
half,2
day,2
didn,5
found,3
upstairs,2
fish,4
special,2
pretty good,2
convenient location,2
times,5
isn,2
waitress,3
wasn,5
quality,2
service,8
top,3
comfy,2
friend,5
poor service,2
chambers street,2
kind,2
thought,5
chatting,3
ideal,2
interior,2
don,6
average,2
crowd,2
clean,2
occasion,2
atmosphere,5
corner,2
fine,3
find,2
staff,6
busy,2
hadn,2
menu,6
student id,2
chips,5
bar,9
bad,3
bars,3
close,2
arrival,2
job,2
restaurant,2
waiting staff,2
uni,2
point,2
walk,2
table,3
expected,2
priced,2
sound,2
bill,4
ve,11
wouldn,2
shame,2
decor,2
make,5
biblos,20
fairly,3
drink,4
arrived,2
great location,2
burgers,4
bottle,2
nachos,5
seats,2
location,3
coming back,2
bit,2
disappointed,2
serves,2
night,3
stylish,2
back,5
dinner,2
road,2
accounts,2
noticed,2
start,5
lot,4
offer,5
true,2
eat,8
places,2
fries,2
expect,3
ordered,3
year,3
doesn,3
tasty,2
girlfriend,2
nice,6
students,4
friends,3
required,2
fact,3
time,3
