name,count
limited,3
worth,4
courgette,3
enjoy,4
perfect end,2
elegant,2
suppose,2
told,3
dry,2
items,3
fantastic,3
recommend,2
warm,4
excellent,2
work,5
give,7
veggies,3
times,7
end,6
amazing,3
vegetarian food,3
decor,2
order,9
wine,6
grilled sweet potato,2
london,2
vegetarian friends,2
bann,2
bread,2
meat,5
reasonable,2
vegetarian restaurant,5
meal,16
tip,2
wanted,3
ate,5
bite,4
delicious,10
wasn,6
service,16
top,2
needed,2
smoked tofu,5
seated,4
mind,3
mine,4
ginger,2
sound,2
recommended,2
excellent meal,2
shallots,2
don,9
consumed,2
place,16
enjoyed,4
make,13
busy,3
menu,22
celery,3
plate,8
db,2
bar,2
bad,2
fair,3
decided,4
lots,3
side,2
terms,2
asked,3
quickly,3
lovely,4
life,2
shame,2
bottles,2
red pepper risotto,2
split,2
plates,2
claims,2
left,7
mushroom strudel,5
koftas,5
aubergine,5
david banns,2
50,2
people,6
eyeing,2
1 star,2
night,6
udon noodles,3
dinner,8
curry,2
blue cheese,4
nice touch,2
happy,6
offer,4
portions,4
trip,2
highly recommended,3
felt,6
time,12
managed,3
creative,2
banana chutney,2
agreed,2
henderson,2
choice,2
presented,2
leave,2
round,2
seasoning,2
drinks,3
great meal,2
vegetarian cuisine,2
shared,3
water,4
change,2
wait,4
raspberry ice cream,2
love,8
visit,9
live,3
sharing,2
chocolate sauce,2
soup,2
heart,2
delish,2
tofu fritters,2
edinburgh,17
date,2
man,2
sr,2
years,3
group,4
interesting,5
main,10
happened,3
didn,17
tuesday night,3
vegetarians,7
couldn,5
waiter,5
honest,2
turn,3
cheese,2
friend,2
boyfriend,2
12,2
tasted,3
turned,4
sat,3
dining,2
wanting,3
begin,2
price,5
hungry,2
bramley apple,2
mains,11
cheap,2
texture,2
flavour,2
husband,2
bit pricey,2
review,3
3,5
thai fritters,3
reading,2
affordable,2
pannacotta,2
pineapple sorbet,2
share,3
mushroom bake,2
drink order,2
ravioli,4
attentive,4
main dishes,3
evening,2
pay,4
admit,5
check,3
finish,4
bottle,2
knowledgeable,2
rest,2
refills,2
hint,2
4,2
world,3
disappointed,4
tomato tart,2
served,6
nice,7
divine,2
exciting,2
awesome place,2
prepare,2
start,4
lot,3
romantic,2
taste,7
tasty,7
5,3
finished,4
mash,4
lack,3
dish,10
returned,3
sitting,2
fan,5
fall,2
small,2
opted,3
run,2
dunsyre blue cheese mousse,2
full,6
vegetarian,11
experience,6
pick,4
options,6
family,2
eye,2
3 courses,2
beautiful,3
menus,2
pineapple chutney,2
short,2
reminded,2
style,2
sauce,4
wouldn,8
good,17
return,5
food,23
die,2
found,3
idea,4
expect,2
kofta,3
thai fritter,2
pleasant,2
imagine,3
feel,6
flavourful,2
bland,2
miss,3
£30,2
part,2
outstanding,3
nights,2
scotland,5
brioche,3
fine,2
find,5
starters,9
indian,2
money,3
hit,2
kind,4
hype,2
restaurants,5
set,2
flavours,3
won,5
missing,2
attention,2
restaurant,18
reasons,2
sweet,3
expensive,3
good sign,2
priced,2
understand,2
prices,3
bill,4
brilliant,2
cuisine,2
cucumber,2
spend,2
excited,2
surprised,3
complaint,2
big,2
bit,10
stylish,2
absolutely,2
back,19
wine list,2
eating,7
10 minutes,2
plenty,5
tofu,4
servers,3
impressed,3
long,4
forward,6
uk,2
ordered,12
doesn,2
lemon,4
£10,3
£11,2
favourite,2
lacked flavour,2
prepared,2
reservation,3
meals,4
fresh,5
david bann,24
sounded,3
good food,2
desserts,5
chickpea koftas,3
ambience,3
friendly,8
dessert,10
asparagus,4
giving,2
experiment,2
chickpeas,2
great,8
leaving,2
opinion,2
manage,2
high expectations,3
viognier,2
sort,2
started,2
charming,2
starter,7
salad,2
high,2
entree,2
tomato,2
honestly,2
sambuca,2
whilst,2
main meal,2
ll,4
choose,3
day,6
risotto,7
warned,2
variety,3
special,2
pretty good,5
coconut sauce,2
david,3
pudding,2
waitress,6
ordering,2
stars,2
remember,3
loved,6
dishes,11
looked,5
occasion,3
fact,7
atmosphere,3
selection,3
planning,2
staff,7
grabbed,2
hope,3
assiette,2
ended,3
view,2
packed,3
great food,2
vegan restaurants,2
vegetarian restaurants,3
table,10
treat,2
hmm,2
unlike,2
vanilla,3
choices,3
ve,12
chilli pancake,2
waitresses,2
party,2
difficult,3
caters,2
eat meat,2
broccoli,3
lunch,2
thought,8
realised,2
puff pastry,2
point,6
helpful,2
friend didn,2
home,3
beetroot,6
friday night,2
rare,3
mushrooms,2
noticed,2
coriander rice,3
eat,6
made,8
places,4
problem,3
minutes,2
2 courses,2
star,2
friends,4
yelp,2
portion,2
