name,count
skip,2
attentive,4
heller,2
eggs benedict,3
yummy,2
dressing,2
worth,3
returning,2
make,4
small,4
tea,3
bacon,3
cupcakes,2
pancakes,3
great,2
makes,2
love,2
brought,2
£8,2
excellent,2
friendly,6
give,3
edinburgh,2
wrong,2
overcooked,2
ended,2
perfect,3
ll,4
window,4
coffee,2
good,5
food,8
lunch,4
didn,3
found,2
side,2
mums,2
fish,2
bistro,2
place,7
hellers kitchen,3
bite,2
delicious,4
service,8
friend,2
lot,2
11,2
comfortable,2
don,4
bring,2
find,2
staff,2
perfection,2
portions,2
chips,2
won,2
kitchen,3
admit,2
asked,2
wall,2
walk,3
breakfast rolls,2
lovely,2
brunch,3
poached eggs,2
weren,2
tasty,2
breakfast,3
arrived,2
thought,3
person,2
great quality,2
easy,2
bit,3
helpful,2
back,2
hellers,3
home,3
avoid,2
price,4
reasonable,2
dinner,2
impressed,3
homemade,2
happy,2
eat,2
made,4
5,2
nice,7
reservation,2
friends,2
cooked,5
time,3
