name,count
lack,2
finally,2
friendly,2
roasted cauliflower,2
choice,5
dig,2
list,2
friendly staff,2
small,4
bacon,2
chicken,2
opted,3
soup,22
full,2
great,8
healthy,2
makes,2
options,2
love,3
chunky,2
working,3
visit,4
popped,2
olive bread,2
£3,7
town,3
salad,2
local,2
beautiful,2
give,4
heard,2
place,8
edinburgh,7
vegan,2
types,3
caldo verde,4
breads,2
whilst,2
ll,3
choose,5
coffee,5
good,7
food,2
lunch,5
bread,11
university,3
didn,4
side,3
lentil,4
container,2
space,2
gluten free bread,2
free,2
chose,2
couldn,3
chance,2
delicious,7
wasn,2
quality,2
sadly,2
warming,2
option,3
haven,2
loved,2
kind,3
sweet potato,2
lunchtime,2
spoonful,2
takeaway,3
regular,2
don,7
shop,2
busy,2
pumpkin,2
morning,2
stuff,2
seat,2
flavours,2
decided,2
good soup,2
lots,4
review,3
genius,9
3,2
cauliflower,2
small soup,2
great music playing,2
taking,2
chorizo,4
cakes,2
point,2
60,2
table,4
expensive,2
union,10
lovely,2
amazing soup,2
doesn,2
onion bread,2
ve,4
make,2
bowl,3
artisan roast coffee,2
day,5
hearty,2
kale,2
seats,2
artisan roast,2
stools,2
background,2
bit,3
50,2
served,2
seating,2
people,4
back,4
almonds,2
home,2
pepper,2
lot,2
happy,3
gluten,2
offering,2
offer,3
hear,2
eat,4
made,3
flavour,2
places,2
hurrah,2
potato,3
soups,11
ah,2
cafe,2
check,2
cream,2
highly recommended,2
nice,3
flaked almonds,2
time,4
