name,count
chain,2
atmosphere,2
desserts,2
sashimi,2
£2,2
good fun,2
worth,4
choice,2
fan,2
cool,4
list,2
small,3
round,2
japanese,2
sign,3
past,3
dish,2
meh,2
water,2
change,2
wait,2
great,5
pick,6
makes,2
love,8
manage,2
eye,2
harvey nichols,4
basically,3
town,4
middle,2
soup,2
making,2
dining experience,2
give,2
times,2
end,3
conveyor belt,9
sushi restaurant,2
edinburgh,5
spot,2
coming,2
authentic,3
light,2
order,6
japan,2
perfect,4
style,2
good,7
yo,15
food,16
wasabi,2
lunch,2
front,4
day,2
didn,6
found,2
meal,4
cost,2
happen,2
love sushi,4
free,2
pleasant,2
quick,4
put,4
ate,2
couldn,2
underwhelming,2
waiter,2
place,13
isn,4
£1,2
feel,3
good quality,2
delicious,2
wasn,5
service,4
ordered,2
friend,2
counter,2
seaweed salad,2
ginger,2
tastes,3
department store,2
dishes,5
convenient,3
price,2
salmon,2
plenty,2
don,7
points,2
fact,3
yo sushi,3
find,4
staff,6
busy,4
menu,3
unlimited miso soup,2
pretty,2
plate,2
hit,2
watching,2
grab,3
edamame,2
katsu curry,2
decided,4
lots,3
genius,2
won,2
japanese food,2
harvey nic,2
table,2
belt,5
conveyor,4
quickly,3
gyoza,2
location,2
tap,2
prices,2
sit,7
miso soup,2
bill,3
country,2
fun,3
gave,2
ve,3
wouldn,2
sushi,21
shame,2
experience,4
decor,2
maki,2
things,6
make,3
parts,2
plates,3
harvey nics,2
asked,2
bit,5
add,2
4,2
easy,2
coming back,2
disappointed,3
people,2
back,3
newsletter,2
novelty,4
hot dishes,4
eating,2
chefs,2
impressed,2
lot,2
happy,2
head,2
eat,7
count,2
made,4
places,2
taste,2
tasty,3
salads,3
nice,2
felt,5
prepared,2
soy sauce,2
time,6
fresh,6
