name,count
dish,3
finally,2
kismot killer,2
worth,4
town,2
icing,2
serve,2
north indian chilli garlic,2
large,2
main courses,2
indian,2
run,3
tandoori chicken,2
wait,3
great,4
family,3
kind,2
ve,5
visit,3
doubt,2
recommend,2
door,2
rich,3
excellent,5
word,2
heard,2
friendly,3
mango lassi,2
lamb,2
hot,4
edinburgh,15
decor,3
order,2
indian restaurants,3
expectations,2
choose,2
main,3
good,8
food,10
easily,3
didn,4
found,2
side,2
spiciness,2
expect,2
special,2
day,2
return home,2
reason,2
couldn,2
waiter,2
thing,3
place,8
waited,2
fancy,2
delicious,3
wasn,3
city,2
service,8
bite,2
option,2
part,2
haven,2
loved,2
trip advisor,2
spicy,3
orders,2
pleasant,2
dishes,4
depending,2
scotland,3
indian food,5
plan,2
extremely,2
clean,2
chicken,2
find,2
staff,5
menu,8
corkage charge,2
friendly service,2
rice,5
decided,2
group,2
kitchen,3
restaurant,4
asked,3
point,2
kismot,8
curries,5
seasoned,2
mind,2
evening,3
make,4
finish,2
love,3
flavor,2
recommended,2
coming back,2
limited availability,2
couple,3
early,2
bit,5
disappointed,3
night,2
served,3
people,5
naan,3
back,7
spiciest curry,3
sauces,2
eating,2
corkage,2
meal,4
curry,11
eaten,4
long,3
happy,4
offer,2
heat,2
eat,2
byob,5
ordered,5
taste,4
spice,3
detail,2
met,2
kinds,3
reservation,3
indian restaurant,2
time,6
fresh,2
