name,count
chain,2
people,2
friendly,2
fan,2
bustle,2
venue,2
small,4
enjoy,2
tea,3
street,4
great,4
study,2
makes,3
love,3
duck,2
bean scene,2
music,2
popped,2
excuse,2
basically,2
£5,2
work,4
soup,2
sit,3
1,2
edinburgh,4
stop,2
spot,3
order,2
years,3
attitude,2
ll,2
coffee,13
good,4
food,8
lunch,3
walls,2
starbucks,3
university,2
didn,2
pizza,3
hard,2
open,2
pleasant,2
place,5
feel,7
city,2
long,2
service,4
2,2
bitter,2
friend,2
beanscene,15
matter,2
pre,2
mind,2
don,4
cramped,3
nice place,3
clean,2
fact,2
atmosphere,2
watch,2
fine,3
find,4
staff,5
busy,4
menu,2
kind,2
bad,2
grab,4
seat,2
close,3
quality,2
3,2
coffee shops,2
asked,3
cakes,2
walk,2
lovely,2
priced,2
ve,9
chaotic,2
nicholson street,2
things,2
decor,2
difficult,2
thought,3
nachos,4
seats,2
bit,3
cup,2
surprised,2
customers,2
couple,3
works,2
live music,3
back,3
home,2
good size,2
mocha,2
pizzas,2
area,2
lot,3
head,2
buy,2
offer,3
hot chocolate,3
places,3
doesn,2
branch,2
nice,4
charming,2
friends,3
time,8
fresh,2
stick,2
