name,count
children,2
welcoming,2
enjoy,2
tea,2
drinks,2
cargo,4
great,3
love,2
music,2
hour,2
huge,2
end,2
conversation,2
place,3
sit,2
perfect,2
ll,2
akva,4
good,5
food,6
day,4
didn,3
found,2
side,3
size,2
beer garden,2
times,4
open,2
service,4
haven,2
colourful,2
service wasn,2
staff,3
menu,2
bar,3
big group,2
similar,2
table,3
sunshine,2
make,3
decor,2
arrived,2
money,2
point,2
big,2
bit,2
disappointed,3
night,2
back,5
upstairs,2
canal,3
impressed,2
long,2
start,2
recommend,3
eat,2
ordered,2
felt,2
friends,2
space,2
hemma,2
time,5
