name,count
chinese,2
lack,2
atmosphere,3
prices,2
worth,2
veg,2
dessert,2
decide,2
level,2
filling,2
small,7
mr kim,5
pork,3
tea,3
dish,3
cosy,2
soup,3
enjoyed,3
shared,3
pancake,2
experience,3
pick,2
fantastic,2
love,4
visit,2
fried tofu,2
pork bulgogi,3
word,2
left,2
friendly,3
mr,3
rice cake,3
give,3
mini meals,7
high,3
heard,3
end,2
thing,2
range,2
authentic,2
£8,2
egg,3
order,4
bowl,2
perfect,3
ll,2
amazing,3
main,3
good,9
food,12
mention,2
day,2
meat,2
didn,3
gave,3
cute,2
reasonable,2
found,2
meal,2
edinburgh,11
year,4
opened,2
space,2
advance,2
couldn,2
rice cakes,2
times,3
place,9
fast,2
delicious,3
owner,3
quality,2
mrs kim,4
service,8
top,2
stuffed,2
friend,2
haven,2
loved,3
kind,2
dishes,4
korean,5
price,2
don,6
seafood,2
fact,3
mains,4
pea soup,2
chicken,3
fine,2
find,3
staff,2
quaint,2
menu,8
texture,2
starters,4
rice,6
mum,2
feels,3
made,4
squid bulgogi,2
flavour,3
places,3
whilst,2
husband,3
reasonable prices,2
full,3
kimchi,3
pancakes,2
korean food,9
group,2
restaurant,4
pot,2
shilla,2
table,4
beef,5
due,2
tiny,2
quickly,2
secret,2
lovely,4
great,3
finished,3
presented,2
couple,2
tasty,5
ve,7
appetisers,3
kim,10
bimbimbap,4
thought,2
family,4
wonderful family,2
book,4
easy,2
possibly,2
dare,2
sundubu jjigae,2
night,2
served,3
people,2
back,6
osam,2
home,3
ddeokbokki,3
adorable,2
korean restaurants,3
eating,3
step,2
dinner,5
road,2
tofu,2
son,2
spam,2
aren,2
friends,2
vegetables,3
start,3
spicy,4
true,3
eat,4
spice,3
wise,2
piece,2
spicy sauce,2
delicious food,2
check,2
nice,4
felt,2
forgot,2
lunch,2
weekend,3
yelp,3
cooked,2
week,2
time,8
