name,count
dish,2
worth,2
mains,3
dessert,3
choice,2
earth,2
enjoyed,3
great,2
fantastic,2
pistachio ice cream,3
visit,2
glass,2
excellent,2
95,2
heart,2
end,2
hot,2
edinburgh,2
cous cous,2
tomato,2
prawns,2
good,2
food,6
day,2
didn,2
meal,3
fish,2
monkfish,2
place,3
feel,2
delicious,3
wasn,3
service,3
dishes,3
meze,2
don,3
hanover street,2
staff,3
menu,2
nargile,5
starters,2
rice,2
hit,2
flavours,3
table,2
lovely,2
finished,2
welcoming,2
bottle,3
highly recommended,2
money,2
bit,2
served,2
sorbet,2
back,3
dana sogush,2
baklava,3
side,2
problem,2
ordered,2
£16,2
nice,2
felt,2
time,3
