name,count
worth,3
haggis,2
bacon,2
told,4
met,2
saturday night,3
good night,2
call,2
recommend,3
award,2
glass,2
£4,2
room,3
work,3
wooden board,2
give,4
end,5
amazing,2
place,14
wrong,4
order,6
wine,2
hidden,2
band,3
reasonable,2
meal,4
wanted,2
delicious,3
wasn,3
service,6
top,3
needed,2
friend,4
hatch,2
plenty,2
don,12
annoyed,2
visitor,2
toast,2
busy,2
dj,2
bar,16
bad,2
steak,2
decided,3
lots,3
tables,3
asked,4
website,2
air,2
suppose,2
things,2
make,7
great location,2
left,5
easy,2
possibly,2
nice big bar,2
live music,3
crowd,4
people,6
dead,2
marketing,2
night,13
dinner,7
free wifi,2
large groups,2
music,4
head,2
offer,2
gorgeous,3
true,2
full,2
inside,2
floor,3
update,3
2 stars,2
time,15
dance,4
cheap,4
princes street,2
leave,4
guy,2
round,3
drinks,6
stands,2
love,2
visit,2
live,2
beers,3
local,2
soup,2
awesome,3
winter,2
edinburgh,7
upper floor,2
birthday,2
date,2
fine,3
st,2
midnight,2
3 stars,2
group,5
lunch,3
didn,8
space,10
couldn,3
waiter,2
honest,2
open,3
sat,3
discovered,2
morning,2
husband,2
public bar,2
review,6
3,2
roof,2
pop,2
case,2
evening,4
par,2
trip,2
events,2
enjoyment,2
great hall,2
ceilidh hall,2
bottle,2
money,2
disappointed,3
server,2
nose,2
served,6
medieval doors,2
side,2
area,3
stars,2
tasty,3
cream,2
students,2
included,2
building,3
booked,2
alright,2
starting,2
burger,2
sum,2
shouldn,2
ceilidh,4
experience,4
gosh,2
6,2
door,2
excuse,3
town,2
coming,2
crowded,2
playing,2
good,8
food,15
stopped,3
upstairs,4
fish,5
idea,4
expect,2
friday,5
reason,2
imagine,3
put,2
loads,3
feel,5
girls,2
number,2
bland,3
coleslaw,2
dancing,3
traditional,2
nice place,2
clean,5
find,6
feels,2
enjoyed,3
wow,2
won,2
dance floor,3
point,3
simply,2
expensive,2
due,2
empty,3
priced,3
prices,2
bill,2
fun,6
events upstairs,2
arrived,3
big,2
couple,2
game,2
bit,7
helpful,2
back,11
eating,2
beans,2
servers,2
long,3
ordered,6
ghillie dhu,16
£15,2
nice,11
sides,2
fresh,2
gd,2
friendly,4
dessert,3
booth,2
waiting,2
great,5
standing,2
usa,2
sort,2
whisky,2
sit,5
light,2
vibe,2
ll,3
hands,2
day,6
times,7
quality,2
perfectly,2
tourists,3
lot,5
visited,2
apparently,2
mid,2
request,2
face,2
occasion,2
fact,3
service wasn,2
chicken,2
staff,7
downstairs,2
meant,2
chips,8
packed,3
written,2
joe,2
long benches,2
comment,3
table,9
decent,2
ve,12
turns,2
drink,5
thought,3
toilets,3
add,2
chairs,2
recommendation,2
winterfell,2
carries,2
west end,2
*,3
eat,2
places,2
book,2
friends,4
live band,2
