name,count
forget,2
chain,2
felt,2
sleep,2
3am,2
drinking,2
burger,2
chicken,2
drinks,3
filled,2
told,2
pleasant,2
great,3
brilliant,2
sort,4
entrance,2
door,2
glass,2
room,3
friendly,6
reviews,2
fun,2
give,3
lamb,2
end,4
vibe,2
place,2
cocktail,2
loud,3
things,2
pointed,2
fizzy,2
ll,4
good,4
food,7
lunch,3
lunch menu,2
meal,5
heavy,2
edinburgh,3
open,2
wanted,2
ate,2
days,2
montpeliers venues,2
dine,2
quality,4
service,4
friend,4
kind,2
seated,2
mine,2
comfortable,2
efficient,3
hotel,2
complaints,2
don,3
windows,2
looked,2
nice place,3
fact,2
mains,4
find,3
staff,4
busy,2
starters,2
rick,10
bar,5
morning,2
bars,2
fries,2
cocktails,5
bed,2
3,2
arrival,2
restaurant,4
table,3
speak,2
quickly,2
modern,2
prices,2
attentive,2
half price,2
fault,2
ve,3
evening,2
partner,2
frederick street,2
pay,2
make,3
drink,3
rooms,3
bit,2
unique,2
tenner,2
2 mains,2
shout,2
couple,2
tick,2
steps,2
people,3
back,6
lot,3
relaxed,2
made,3
tasty,3
£10,2
nice,3
friends,5
meals,2
time,4
