name,count
basics,2
impressive,2
felt filling,2
opted,4
yellow lettering,2
doubt edinburgh,2
full,2
shouldn,2
box,2
leaves,2
leaving,2
wee police box,2
barnacle,2
crab,7
prep,2
salad,4
give,2
autumn,2
bones,4
st andrew square,2
remember,3
order,4
john lewis,4
ll,2
good,3
food,4
front,2
didn,3
light purplish grey paint,2
warmish days,2
meal,2
stealing,2
bit flabbergasted,2
amazing,3
delicious,4
city,3
good sized portions,2
service,2
start,2
top,2
needed,3
boyfriend,2
impressive stuff,2
feeling,2
square eating,2
thought,2
wandered,2
major foodie haven,2
amazing burger joints,2
don,3
hungry,2
fact,3
people made,2
chances,3
subtle,2
years,2
chips,8
grab,2
seat,2
huge offering,2
quick lunch,2
superb,3
super delicious,2
simple,2
deliveroo,3
walk,2
church,2
beef,7
meeting,2
quinoa salad,6
appearance,2
ve,3
ready,2
make,3
jealous,2
extra crispy,2
cue,2
surprised,2
couple,3
barnacles,2
tarragon chips,2
bit,2
michelin starred dining,2
back,3
home,2
confirm,2
eating,2
tiny police box,3
persuaded,2
heated,2
noticed,2
street food,2
eat,3
made,4
quaint cupcake cafes,2
minutes,3
tasty,2
made fresh,2
£12,2
roll,6
time,2
fresh,2
