name,count
good food,2
friendly,2
dessert,2
choice,2
fall,3
bring,2
haggis,4
enjoy,3
burger,3
picked,2
long wait,2
told,2
full,2
saturday night,2
wait,3
great,5
food served,2
pick,2
fell,2
fantastic,2
love,2
lovely whiskey tasting flight,2
brought,2
visit,5
wood,2
recommend,6
whiski,2
whisky,3
hour,3
sample,2
winter,2
rib,2
scotch,2
edinburgh,8
wonderful,3
types,2
nice late afternoon,2
order,3
wine,2
whilst,2
chips,3
ll,2
main,2
wouldn,2
good,8
food,9
didn,4
meal,5
single malts,2
wanted,2
ate,2
place,8
loud,2
cheese,3
number,2
delicious,7
wasn,2
city,2
service,7
coming fall,2
loved,7
12,2
pre,2
scotland,4
drinks,3
plenty,2
looked,3
atmosphere,2
cheap,2
good service,2
enjoyed,3
staff,4
slow,3
menu,2
plate,2
hit,2
bar,5
ended,2
view,2
whiskies,2
whiskey tasting,2
central location,2
lots,2
great selection,2
restaurant,2
waiting staff,2
asked,2
table,3
offered,2
ve,4
decor,2
finish,2
drink,2
lunch,4
spent,2
whiski rooms,7
respectable fish,2
young canadian server,2
whisky flights,2
bit,2
disappointed,2
people,2
highly recommend,4
back,8
good selection,2
presented,2
10 minutes,2
side,2
dinner,4
auchentoshan,2
long,2
lot,2
happy,5
tasting,2
eat,4
made,2
paired,2
ordered,4
taste,2
tasty,2
flight,4
nice,3
prepared,2
chance,2
friends,3
booked,2
yelp,2
time,4
