name,count
dish,2
eggs benedict,3
friendly,2
choice,2
bacon,5
waiting,2
stockbridge,5
pancakes,2
wait,2
great,3
french toast,4
makes,2
visit,2
call,2
salad,3
soup,3
making,2
give,2
times,3
sit,2
edinburgh,2
reliably good,3
coffee,6
good,8
food,7
safe,2
starbucks,3
didn,4
salads,3
special,2
imagine,2
put,3
place,7
isn,4
feel,3
delicious,3
wasn,4
open,2
service,5
kind,2
counter,2
breakfast,4
maxi,10
eggs,2
don,6
fact,2
atmosphere,2
fine,2
find,4
staff,4
busy,4
menu,3
meant,2
marshmallows,2
visiting,2
reading,2
cakes,3
sweet,2
table,3
expected,2
brunch,3
ve,6
make,3
difficult,3
costa,2
lunch,3
touch,2
day,3
bit,5
maple syrup,4
arrived,2
star,2
relaxed,2
city centre,2
cake,2
minutes,2
taste,2
home,2
generally,2
nice,2
kinds,2
chance,2
friends,3
cooked,2
time,5
