name,count
holyrood,7
fireplace,2
haggis,5
bacon,5
street,4
perfect,3
meals,2
melted,2
burgers including,2
told,2
fantastic,3
brought,4
meats,2
recommend,11
type,2
steak sandwich,4
£4,2
£7,2
95,2
bartender,2
work,10
worth,6
give,3
veggies,2
amazing,3
disappoint,4
wrong,4
types,3
bit slow,2
fan,2
order,9
wine,2
fall,2
expectations,2
great burgers,3
savory,2
absolutely delicious,2
bread,2
meat,4
crunchy,2
filling,3
reasonable,3
side,6
open,3
swiss cheese,2
standard,2
9a,5
wanted,6
ate,3
days,3
lettuce,2
delicious,11
wasn,5
service,14
top,4
needed,2
skinny fries,2
matter,2
flavorful,2
mine,3
genuine,2
recommended,4
good beer,2
don,13
digress,2
reputation,2
peroni,2
enjoyed,5
busy,10
layout,2
weekends,2
bar,19
red squirrel,6
bad,4
fair,6
depends,2
decided,5
result,2
lots,4
opened,2
glasgow,2
decent burgers,2
kitchen,2
received,3
great pub,3
real ale,2
fault,2
asked,7
beef,5
beer,26
expected,2
lovely,5
life,4
catch,2
weren,2
onion rings,2
nice atmosphere,2
bottles,4
things,8
make,9
cowgate,2
hand,5
pubs,4
burgers,47
left,3
note,2
beef burger,3
hat,2
5 stars,2
gave,2
possibly,2
halloumi,3
hunt,2
night,6
people,7
phenomenal,3
ve eaten,2
/,3
post,2
dinner,3
free wifi,3
nice touch,2
head,3
offer,7
hear,2
haggis burger,5
inside,3
falafel,2
mediocre,3
trip,3
generally,2
felt,6
fell,2
weekend,4
warm,2
time,22
managed,2
excellent,3
quick bite,2
manager,2
finally,3
good selection,3
choice,6
cool,3
impressive,2
presented,3
friendly staff,6
quick,3
pork,4
cheese burger,3
beer selection,8
drinks,12
venison burger,3
shared,2
satisfy,2
water,2
change,2
love,11
sweet potato fries,10
piri piri chips,2
working,2
pints,3
visit,12
live,2
beers,27
piri piri fries,2
making,4
arrive,3
bbq burger,2
1,2
pint,7
edinburgh,26
spot,5
remember,3
candles,2
quick drink,2
years,3
cold,2
hot,2
window,2
happened,2
pleasance,2
tucked,2
lunch,3
gastro pub,2
arriving,2
huge selection,2
drop,2
rock,2
brews,2
year,4
salads,3
living,2
space,2
advance,3
couldn,3
calories,2
honest,2
place,40
heard good things,2
cheese,7
fast,2
size,5
city,3
bite,6
2,2
draft,2
friend,2
ridiculous,2
boyfriend,3
11,2
wide,2
massive fan,2
future,3
happy,3
sat,3
efficient,2
interior,2
super tasty,2
normal,2
price,7
knew,2
average,3
hungry,2
show,3
bright,2
corner,3
portions,2
husband,2
seat,5
cocktails,2
review,4
3,2
chorizo,3
turkey,2
attentive,2
case,2
rammed,2
middle,2
evening,2
pay,4
check,2
week,4
beer tasting,2
chilli death burger,2
rest,3
hint,3
venison,5
4,4
good burger,4
decent beer,2
early,3
disappointed,2
server,2
served,4
pickles,2
slice,2
pioneer,5
business,3
serve food,2
favorite,3
red onion,3
start,9
stars,4
spicy,2
5/5,2
taste,8
tasty,9
fill,2
5,3
hey,2
students,3
building,2
mass,2
original,4
lack,2
messy,3
sitting,3
list,4
small,2
past,2
burger,39
pass,2
opted,2
sun,3
unsurprisingly,2
full,2
burger joint,2
vegetarian,3
experience,6
amount,2
pick,2
options,5
thankfully,2
flaws,2
door,2
drink selection,2
flag,2
glad,2
town,7
sense,2
huge,2
stayed,2
isn,3
good vibe,3
short,2
overcooked,2
halloumi burger,5
brie,2
sauce,3
wouldn,3
good,34
return,2
food,22
bigger,3
easily,2
wash,2
found,10
hard,6
expect,3
friday,2
pub,5
reason,3
put,2
feel,6
number,3
fancy,2
bland,4
guess,2
passed,2
option,3
part,7
nicely decorated,2
kind,4
coleslaw,3
ages,2
juicy,3
orders,3
scotland,3
flying visit,2
20 taps,2
brioche,2
eaten,2
traditional,2
clean,2
find,11
giant,2
starters,2
pretty,3
hit,3
holyrood road,2
bonus points,2
smoked bacon,2
restaurants,2
spirits,3
wow,2
meal,4
recently,2
missing,2
great selection,5
restaurant,2
load,2
simply,2
expensive,2
due,2
damn,2
mind,2
understand,2
prices,4
bill,3
brilliant,3
ready,4
decor,3
grand,2
moment,2
arrived,5
dark,3
person,3
location,2
excited,2
surprised,3
complaint,3
lacking,2
big,3
couple,2
quest,2
bit,14
continue,2
popular,3
highly recommend,5
back,20
trendy,2
holyrood 9a,28
eating,2
burger menu,2
grilled chicken breast,2
impressed,4
apparently,2
long,5
forward,2
fries,8
bad thing,2
ordered,6
doesn,6
chat,2
beer battered onion rings,2
nice,6
mustard,2
sides,2
fresh,2
desserts,4
amiss,2
starter,2
friendly,9
stocked,2
years ago,3
dessert,3
original burger,2
drinking,2
royal mile,3
9a offers,2
great,16
spiced,2
menu,21
manage,2
tap,8
sort,2
popped,2
salad,2
thirsty,2
high,2
lamb,4
varied,2
sit,3
beer mustard,3
located,4
great variety,2
struggled,2
stand,2
stop,2
knowledgable,2
good burgers,2
ll,6
choose,3
front,3
special,3
desert,2
good atmosphere,3
southern,6
gourmet burgers,2
chilli,4
times,10
waitress,3
quality,9
sadly,4
blue murder burger,2
tomato,4
lot,7
haven,2
loved,3
light,3
visited,2
half,2
comfortable,2
border,2
enthusiastic,2
face,2
looked,4
yum,2
fact,4
atmosphere,6
selection,5
chicken,3
staff,13
taps,2
eat,8
local,2
joint,2
chips,4
grab,2
closer,2
super friendly,2
bought,2
taking,2
falafel burger,2
table,13
decent,3
seasoned,5
finished,2
pretentious,2
craft beers,2
ve,19
helped,2
garlic mayo,4
party,2
drink,8
damn tasty,2
thought,3
firstly,2
patty,3
usual,2
rocket,3
seats,3
wee,2
day,4
crisp,2
helpful,2
didn,9
avoid,2
friday night,5
rare,2
chance,3
places,5
*,3
bun,8
made,7
veggie burgers,3
veggie option,2
problem,2
ordered burgers,2
girl,2
book,5
ice cream,2
star,2
friends,2
yelp,2
