name,count
managed,3
chain,2
dish,4
good food,3
worth,2
case,2
dessert,6
haggis,9
enjoy,2
bacon,2
street,2
chicken,4
opted,2
great meal,2
told,2
great,10
experience,4
tour guide,3
fantastic,3
ve,8
visit,2
recommend,3
warm,2
excellent,7
95,4
starter,5
town,2
taste good,2
friendly,6
soup,4
greeted,2
heart,2
give,3
waiter,2
range,2
amazing,2
edinburgh,12
entree,2
refuse,2
things,3
find,2
years,2
perfect,5
group,3
ll,3
main,4
wouldn,2
good,10
food,19
edinburgh institution,2
lunch,4
day,8
potatoes,4
didn,2
lunch menu,2
found,2
meal,7
fish,3
expect,5
pork steak,2
skink,3
special,2
reason,3
ate,4
haggis starter,2
place,8
isn,2
delicious,16
wasn,3
quality,2
size,2
city,4
service,18
top,3
short walk,2
part,3
loved,3
kind,2
amazing service,2
visited,3
carrots,2
orders,2
scotland,2
banoffee pie,3
added,3
price,4
salmon,8
don,4
average,3
order,6
victoria street,3
atmosphere,6
mains,3
fine,3
enjoyed,3
staff,4
busy,4
based,2
menu,3
starters,3
interested,3
plate,2
scottish restaurant,3
shetland salmon,2
bad,2
restaurants,3
fair,2
decided,2
packed,2
wanted,2
casserole,2
kitchen,3
restaurant,12
lemon,2
asked,3
point,2
sweet,2
neeps,2
scottish,2
table,7
beef,2
addition,2
peppery,2
expected,2
lovely,2
offered,2
attentive,2
bill,2
castle,3
smoked haddock,2
hoping,2
disappointing,2
upscale,2
ready,2
decor,2
make,2
bowl,2
trip,2
couple,2
daily specials,2
drink,2
arrived,4
thought,5
locally sourced,2
howies,6
immediately,2
note,2
recommended,3
location,3
bread,4
possibly,2
bit,4
helpful,3
server,4
night,2
served,3
tart,2
people,5
highly recommend,2
back,7
funny,2
delivered,2
avoid,2
main courses,2
speak,2
dinner,5
good dinner,2
area,3
long,2
perfectly seasoned,2
start,2
lot,3
forward,2
happy,2
gluten,2
offer,2
level,2
eat,7
made,3
ordered,4
entering,2
taste,3
tasty,7
check,4
venison,2
nice,7
time,8
professional,2
included,2
howie,7
wife,2
walked,2
mash,2
cooked,3
fresh,2
