name,count
authentic indian dishes,2
worth,2
pakoras,3
choice,2
set meal,3
find,3
waiting,3
indian,4
full,2
wait,2
great,9
amount,3
opinion,2
spices,2
love,2
pakora,2
creamy,2
lamb rogan josh,2
phone,2
great place,2
friendly,2
huge,2
sit,2
amazing,4
edinburgh,7
chicken madras,2
favourites,2
order,3
years,4
perfect,2
ll,2
samosas,2
good,4
food,14
mention,2
half,2
day,5
found,4
meal,3
friendly staff,2
quick,2
days,2
place,3
delicious,7
service,3
indian takeaway,3
serve,2
kind,2
rogan josh,2
excellent food,2
dopiaza,2
regular,2
love noor,2
don,3
cheap,2
discovered,2
enjoyed,2
staff,5
menu,6
rice,3
places,2
tender,2
tend,2
simply,2
ordered,3
curries,6
quickly,2
priced,2
prices,2
ve,2
ready,2
make,2
week,2
finish,2
arrived,2
person,3
aways,2
tables,2
generous,3
disappointed,2
chicken korma,3
pounds,2
night,3
naan,3
back,2
sauces,2
delivered,3
noor,13
piping hot,2
curry,4
area,3
fast,2
happy,2
spicy,2
delivery,3
eat,3
portions,7
reasonable prices,2
tasty,6
variety,2
highly recommended,2
friends,4
cooked,2
time,5
fresh,3
