name,count
friendly staff,2
leave,2
round,2
full,4
toffee muffin,2
met,2
great,2
fantastic,2
love,4
town,2
friendly,3
soup,6
heard,3
huge,2
wandered,2
place,6
edinburgh,3
remember,3
light,3
order,3
write,2
ll,6
free bread,2
coffee,13
good,6
return,3
food,4
dovecot studios,2
lunch,6
day,3
didn,4
filling,2
salads,2
space,3
reason,2
yum,2
isn,2
loud,2
feel,4
fancy,2
delicious,2
open,2
service,2
airy,3
friend,3
tastes,2
pastry,2
apple muffin,2
sandwiches,4
interior,2
regular,2
gallery,2
don,2
soups,2
face,2
fact,4
selection,2
bright,2
find,3
staff,6
menu,3
pretty,2
cappuccino,3
morning,2
lots,2
admit,2
cakes,2
artisan roast,2
table,2
secret,2
lovely,5
attentive,2
chill,2
ve,2
make,3
thought,2
bit,3
cup,3
thinking,2
dovecot,5
5 stars,2
people,3
back,5
lot,2
head,2
gluten,2
eat,2
made,2
places,3
attached,2
cake,5
ordered,2
tasty,4
cafe,5
5,2
nice,3
clean,3
stay,2
friends,2
wifi,2
impatient,2
time,4
