name,count
returned,2
quick,2
ups,3
breakfast roll,4
small choice,2
charge,2
reliable breakfast,2
friendly,2
sit,2
amazing,2
guys,2
slightly,2
pleasance,2
good,3
nonsense café,2
similar places,2
food,3
meat,2
higher,3
rolls,2
pretty good,2
free,2
place,3
cheese,3
wasn,3
service,2
top,2
tasted,2
breakfast,2
wide selection,2
sandwiches,2
don,2
staff,3
wraps,2
pretty,2
view,2
notice,3
quick service,2
cafes,2
food tasted pretty good,2
expensive,2
bbl,4
expected,3
fry,3
mary,2
prices,3
make,2
macaroni,2
lunch foods,2
bonus,2
burgers,3
snax,2
simple,2
good location,2
sausage rolls,2
quick lunch option,2
didn,4
back,2
lot,2
hot drinks,2
eat,2
ordered,2
roll,2
larger meals,2
time,4
