name,count
long time,2
friendly,3
full,2
love,2
excellent,2
starter,2
grill,2
room,2
work,2
rodi,6
edinburgh,2
main,4
good,2
food,5
bread,2
meat,2
turkish food,2
imagine,2
place,4
delicious,2
service,3
offer,2
face,2
chicken,3
find,2
staff,3
rice,2
plate,2
tender,3
august,2
restaurant,3
charred onions,2
table,3
pomegranate,2
day,2
turkish place,2
bit,4
didn,3
highly recommend,2
back,3
blythe,2
dinner,3
eicc,2
forward,2
tom cruise,2
eat,2
flavoursome,2
tasty,2
lamb spare ribs,2
