name,count
chain,2
yummy,2
chicken burgers,2
ketchup,2
worth,3
busy,2
minute,2
list,2
thin,2
bacon,3
burger,17
fine,3
great,7
burger joint,4
menu,4
love,4
sweet potato fries,2
lime,2
visit,2
charcoal,2
soft bun,2
basically,2
excellent,3
glad,2
town,3
salad,8
work,2
give,4
bun grilled,2
edinburgh,3
wrong,2
pay,3
order,9
whilst,2
london,2
ll,4
choose,3
wouldn,2
good,10
food,7
vouchers,2
fancy,2
meat,5
didn,2
reasonable,2
side,5
standard,3
times,2
thing,2
place,12
smokey cheese,2
delicious,5
wasn,2
quality,3
service,8
gourmet,2
friend,2
alongside,2
scotland,2
hangover,3
regular,2
eaten,2
don,4
extra details,2
points,2
burger joints,2
chicken,3
hadn,2
milkshakes,2
chips,4
relish,3
gourmet burger,2
gbk,3
set,2
won,3
kitchen,2
great selection,3
point,2
table,2
addition,2
wait,6
mind,4
prices,2
unlike,3
weren,3
onion rings,3
ve,4
customers,3
finally decided,2
make,6
world class,2
finish,2
pubs,3
burgers,10
beef burger,2
starving,2
good burger,3
couple,2
bit,2
disappointed,3
onion,2
people,3
back,5
sauces,3
price,3
gourmet burger kitchen,3
lot,3
happy,3
bun,6
eat,3
made,2
flavour,2
places,4
inside,2
fries,3
fried,2
"good burger
great meat grilled",2
cure,3
tasty,3
book,2
special,2
nice,4
time,6
fresh,2
