name,count
skin,2
charity,2
friendly,3
royal mile,3
quick,2
burger,6
cost,2
opted,2
enjoyed,2
great,3
milkshake,3
sweet potato fries,3
sort,2
pretty,2
excellent,2
£3,2
work,2
huge,2
edinburgh,2
order,3
good,5
food,2
side,3
rex,2
reason,2
waiter,2
place,3
delicious,2
thick,3
service,3
kind,3
price,2
courgette fries,2
clean,2
staff,2
jalapeños,2
rich,2
milkshakes,2
chips,2
byron,4
full,2
3,2
ve,2
make,2
drink,2
arrived,2
burgers,6
add,2
bit,4
onion ring,2
served,2
people,2
back,2
meal,2
servers,2
long,2
medium,2
fries,3
minutes,2
enthusiastic,2
ordered,3
doesn,3
medium rare,2
cream,2
nice,3
time,3
