name,count
selection,2
big fan,2
presentation,2
friendly,3
dessert,2
choice,2
advised,2
presented,3
small,2
chef,2
dish,3
street,2
cosy,4
order,2
meh,2
great,4
perfectly cooked,2
experience,2
weird,2
brought,2
put,3
visit,5
recommend,2
£7,2
starter,4
town,4
salad,2
soup,4
give,3
times,2
west end,5
coming,2
make,2
perfect,2
expectations,3
main,4
good,5
tucked,2
food,5
lunch,5
overpowering,2
half,2
bread,2
potatoes,2
didn,5
meal,3
delicious,4
fish,3
ice cream,2
impressed,3
pleasant,3
wanted,3
juiciest,2
ate,2
birthday,2
place,6
waitress,2
feel,2
wasn,7
quality,2
city,2
service,5
2,2
airy,2
part,4
bit sad,2
mine,2
edinburgh larder,3
gravy,2
don,2
looked,3
overpriced,3
mains,2
staff,5
toast,2
nice,5
menu,5
hope,3
plate,3
bad,2
decided,3
tender,2
3,2
restaurant,4
asked,4
table,3
seasoned,2
lovely,3
dry,2
offered,3
finished,2
brunch,2
weren,2
ve,3
partner,2
decor,2
open,2
underwhelmed,4
sat,2
booths,2
cut,2
couple,2
bit,4
served,2
back,8
slice,2
booking,2
run,3
found,3
basis,2
dinner,2
aren,2
vegetables,2
start,3
lot,2
happy,2
eat,2
flavour,3
ordered,4
year,2
tasty,3
edinburgh larder bistro,6
home,2
visits,2
prepared,2
yelp,2
space,2
cooked,2
time,5
fresh,2
