name,count
good food,2
grassmarket,5
glad,2
friendly,4
drinking,2
leave,2
round,2
ale pie,2
sign,2
drinks,7
told,2
full,2
met,2
great,3
fajitas,2
opinion,2
makes,2
crazy,2
sports,2
memory,2
ate,3
beers,4
£1,2
student recommended card,3
worth,2
reviews,3
biddy mulligans,3
give,4
heard,2
sit,3
dinner,3
edinburgh,6
staying,2
stop,3
guys,2
times,2
attracts,2
great service,2
good,10
return,2
food,10
front,2
day,2
meat,3
didn,4
cider,2
pint,2
meal,2
hard,2
pretty good,2
haggis,2
good atmosphere,3
pub,7
put,3
wanted,2
heading,3
place,11
loud,2
feel,2
bars,2
wasn,3
miss,2
guess,2
bonus,2
needed,2
2,3
tourists,2
friend,3
hotel,2
loved,2
kind,2
scotland,2
packed,3
finding,2
plenty,3
don,3
stag/hen parties,2
atmosphere,4
cheap,5
bring,2
corner,2
staff,4
busy,3
weekends,2
hope,2
biddy,5
hit,2
watch,3
bar,3
nicely,2
bag,2
steak,2
fries,2
lots,2
review,2
bunch,2
admit,2
drunk,2
beer,2
saturday nights,2
sr card,2
ve,2
ready,2
granted,2
week,2
drink,4
disagree,2
pubs,3
student,2
lunch,2
left,2
summer,2
early,2
world,2
bit,2
night,4
nice,3
seating,2
live music,4
people,3
back,4
recommendation,2
home,3
lively,2
music,2
true,2
eat,2
outdoor seating area,2
doesn,3
trip,2
compared,2
good thing,2
students,3
stag,2
friends,4
meals,2
time,4
