name,count
cool,2
venue,3
burger,2
opted,2
order,2
filled,2
full,2
meh,2
table,2
brilliant,2
amount,2
love,2
tap,2
visit,2
music,2
£4,3
£6,2
great place,2
friendly,2
hawaiian shirts,2
share,2
edinburgh,3
group,2
paradise palms,8
good place,2
good,5
return,2
food,10
lunch,2
walls,2
didn,2
list,2
year,2
cocktail,4
pretty good,2
place,7
feel,3
delicious,5
open,2
top,2
part,2
tasted,2
slaw,2
spicy,2
interior,2
price,2
knew,2
don,3
camp,2
bring,2
staff,3
hadn,2
menu,2
hope,2
bar,4
bars,2
cocktails,5
review,2
portion sizes,2
addition,2
bbq ribs,2
tiny,2
lovely,2
prices,2
fun,3
ve,3
buckfast daiquiri,3
decor,2
make,3
drink,4
hand,2
thought,2
left,2
ninja buns,6
add,2
book,2
bit,3
50,4
served,2
back,4
home,2
night,2
fringe,2
area,3
lot,2
quirky,2
dive bar,3
offer,2
bun,2
fries,3
sort,2
ordered,2
sides,2
time,4
