name,count
worth,8
enjoy,8
japanese,3
elegant,2
told,3
items,2
fantastic,8
grilled teriyaki salmon maki,2
negative,2
call,3
recommend,4
sushi,34
advance,7
excellent,4
room,2
work,3
give,6
end,3
amazing,8
sushi restaurant,7
wrong,2
spicy tuna gunkan nigiri,2
order,12
wine,2
london,3
japan,5
avocado,3
hidden,3
saturday,2
surprise,4
standard,2
wanted,4
ate,2
delicious,11
wasn,3
rated,2
service,14
top,4
needed,2
seated,2
matter,2
modern,3
elegance,2
recommended,3
don,11
soft shell crab maki,2
enjoyed,3
busy,4
menu,14
rice,3
plate,3
bar,3
bad,2
grilled,2
fair,2
decided,6
fault,2
japanese restaurants,2
quickly,2
gyoza,2
lovely,8
relaxing,2
teriyaki salmon roll,2
dumplings,4
complaint,2
maki,2
things,6
make,6
delight,2
tuna,8
possibly,3
aubergine,10
miso soup,6
fellow yelpers,2
night,2
people,5
ice,2
booking,4
grilled aubergine,3
stuck,2
happy,4
head,2
offer,2
inside,3
polite,3
miso aubergine,2
time,14
choice,2
word,3
impressive,2
quick,3
discover,2
eating,4
shared,4
water,2
change,2
wait,3
winner,2
love,8
sushi bar,2
sake,2
visit,4
live,2
great place,2
reviews,2
heart,2
means,2
dinner,6
edinburgh,28
spot,4
birthday,2
remember,2
cute,2
lunch,5
half,2
didn,10
entering,2
tempura,3
california,3
honest,2
thing,5
place,19
city,6
2,3
friend,4
veg tempura,2
boyfriend,2
tasted,3
sat,3
begin,2
price,7
knew,2
pricy,4
walking,2
cheap,2
slow,2
spicy tuna maki,2
girl,2
seat,2
review,4
japanese food,3
busy night,3
birthday dinner,2
excellent service,3
attentive,2
accommodating,3
middle,3
pay,5
bowl,2
soft shell crab roll,2
week,5
starving,2
world,6
disappointed,3
served,2
sushi restaurants,2
felt,4
chefs,3
side,4
stand,2
aren,4
start,4
stars,2
great experience,2
taste,3
ah,2
describe,2
general,2
tasty,5
important,2
sweet miso sauce,4
sushi chefs,2
dish,4
sashimi,6
smile,2
presentation,3
paying,2
worse,2
fall,2
kanpai special roll,2
tea,2
full,5
beacon,2
experience,3
pick,3
imagine,3
ve,12
eye,2
6,4
door,2
glad,2
town,6
beautiful,5
compare,2
share,4
states,2
simplicity,2
chopsticks,2
20,2
wouldn,2
good,20
return,2
food,23
presented,2
found,5
house,2
fish,5
hard,3
idea,3
expect,5
good sushi,2
put,2
miso,2
dont,2
feel,2
story,2
wonderful,2
amazing place,2
special occasion,2
dragon roll,12
kind,3
amazing grilled,2
scotland,2
salmon,2
eaten,4
clean,7
green tea,5
find,5
8,3
feels,4
larger party,2
recommendations,2
set,5
tender,2
close,3
wow,2
won,3
meal,7
restaurant,15
eggplant,4
point,2
sweet,4
simply,3
expensive,2
due,2
lived,2
decor,2
tables,3
cut,2
big,2
couple,2
quest,2
bit,4
sushi spots,2
highly recommend,3
back,18
minimal,2
run,3
good sushi restaurant,2
rolls,6
impressed,2
fast,3
forward,3
portion size,2
uk,6
ordered,8
doesn,3
japanese restaurant,2
nice,6
favourite,2
reservation,4
sashimi platter,3
soy sauce,3
fresh,7
good food,2
wakame salad,2
kanpai,19
friendly,4
great,6
makes,5
win,2
san francisco,2
aubergines,2
pretty,3
pieces,2
rainbow roll,4
stop,2
light,4
perfect,3
ll,5
hands,2
front,3
day,5
minimalist,2
side street,2
tempura batter,2
york,2
times,4
waitress,2
vegetable dumplings,2
quality,7
scallop sashimi,2
rolling dinner,2
haven,4
loved,3
vegetable tempura,2
apparently,3
dishes,4
fact,5
atmosphere,3
30pm,2
bring,3
seaweed,2
chicken,3
staff,15
lucky,3
wise,2
packed,2
sauced aubergine,2
variety,3
table,9
treat,3
raw fish,2
welcoming,3
squid,3
partner,4
thought,3
lunch time,2
crisp,2
helpful,3
home,3
crispy,4
eat,7
made,6
places,4
jenny,3
ingredients,2
dressed,2
book,9
sushi places,5
star,2
priced,2
friends,6
yelp,2
pricey,2
