name,count
excellent,2
dish,4
worth,4
dessert,2
textures,2
fantastic,2
michelin star,2
started,2
starter,3
room,2
end,4
thing,3
1,2
amazing,2
edinburgh,4
main,2
good,3
food,9
michelin star dining experience,2
didn,2
courses,3
meal,4
year,2
couldn,2
arrived,2
restaurants,2
bite,3
cheese,2
city,2
service,6
2,2
ordered,3
kitchen,3
part,2
loved,2
tasted,2
turned,2
afraid,2
dishes,2
price,2
don,2
looked,2
pictures,2
wow,2
menu,4
3,2
hope,2
decided,2
restaurant,3
lovely,2
cheese plate,3
attentive,2
welcoming,2
ve,5
decor,3
drawing room,2
couple,2
5 courses,2
21212,3
flavors,2
dinner,3
lot,2
eat,3
portions,2
incredible,2
time,3
