name,count
hats,7
worth,6
haggis,2
enjoy,3
bacon,4
told,2
fantastic,3
recommend,2
warm,5
excellent,3
work,2
give,2
end,3
amazing,3
order,4
coffee,2
bread,2
filling,2
meal,4
veggie,2
delicious,5
wasn,4
service,5
top,4
needed,3
serve,3
feeling,3
poached egg,2
recommended,2
don,9
twee,3
enjoyed,4
toast,4
busy,4
menu,8
weekends,2
stop,2
bar,7
bad,2
decided,3
result,2
lots,5
wear,2
asked,2
expected,3
mushroom,2
teapot,4
make,2
hang,2
left,5
yelp christmas dinner,2
character,3
5 stars,2
night,4
people,5
booking,3
dinner,4
nice touch,2
quirky,4
happy,4
head,2
offer,2
portions,2
inside,2
check,5
tea pot,2
weekend,2
time,7
cool,2
friendly staff,3
leave,4
loads,2
eating,3
cosy,5
drinks,5
full breakfast,2
shared,2
chocolate tart,2
big yin breakfast,3
wait,3
boy,2
french toast,3
weird,2
love,6
visit,7
live,2
beers,3
effort,2
reviews,2
arrive,2
awesome,3
heard,2
sunday,2
pint,2
edinburgh,5
cocktail,2
guys,2
remember,2
group,2
main,3
tucked,2
lunch,2
tails,2
didn,8
space,2
couldn,3
honest,2
thing,4
place,15
2,2
friend,2
forward,2
sublime,2
tasted,2
breakfast,6
sat,2
dining,2
super tasty,2
price,2
hungry,2
wine,2
salt,2
show,2
flavour,2
gem,2
seat,2
cocktails,11
review,3
reading,2
reaction,2
orange juice,2
disappointment,2
pot,2
great fun,2
sauce,2
cock,2
good,12
pay,2
week,4
finish,2
summer,2
money,2
hint,2
thinking,4
read,2
disappointed,6
served,12
provided,2
felt,2
tea pots,4
national geographic magazines,2
side,3
big yin,4
copies,2
start,5
lot,2
taste,2
tasty,7
ale,2
month,2
leith,7
eggs benedict,5
tea,3
burger,2
opted,2
full,3
experience,3
good range,2
basically,4
town,2
share,3
menus,5
brunch menu,2
shore,2
egg,3
20,2
evening,2
return,2
food,22
walls,3
blackboards,2
hats hanging,2
found,4
alcohol,2
mad hatter,2
pub,4
reason,6
feel,4
guess,2
wonderful,2
option,3
kind,2
haddock,2
full breakfasts,2
substantial,2
trip,2
eggs,2
salmon,2
charm,2
find,3
rose leaf,2
pretty,2
feels,2
locals,3
visiting,2
won,4
missing,2
attention,2
point,2
simply,2
priced,2
poached eggs,3
decor,3
arrived,2
tables,3
cut,2
surprised,2
couple,2
bit,8
popular,6
great atmosphere,3
back,14
good selection,2
porridge,2
dude,2
accustomed,2
called,2
ordered,6
chat,2
veggie breakfast,2
nice,7
cooked,2
fresh,2
good food,4
friendly,4
disclaimer,2
black pudding,3
waiting,2
yelpers,2
great,7
makes,4
apple,2
manage,2
salad,2
high,2
vibe,2
nut wellington,2
move,2
whilst,2
perfect,2
orange,2
day,5
risotto,4
veggie haggis,2
back room,2
cured,2
area,2
waitress,2
quality,2
pots,2
stars,2
loved,4
roseleaf,22
hangover,2
fact,2
atmosphere,4
staff,9
5pm,2
based,3
local,2
chips,2
tea party,4
saucers,2
packed,2
teapots,3
great food,2
super friendly,2
wall,3
walk,2
table,10
brunch,7
ve,13
party,2
drink,7
effect,2
thought,3
toilets,3
generous,2
national geographic,3
add,2
helpful,2
home,4
granny,2
eat,4
made,4
places,5
star,3
monday,2
chance,2
friends,5
yelp,2
