name,count
raining,5
reviewers,2
princes street,8
large,3
subway,2
small,2
boots,5
pass,2
shopping centres,4
filled,2
st james shopping centre,3
poundland,5
great,2
kids,2
bus station,3
opinion,2
makes,2
market,2
visit,2
doubt,2
type,2
chain stores,2
big john lewis,2
work,2
mall,7
end,2
ordinary,2
stock,2
edinburgh,8
wrong,2
st,4
princes st,2
john lewis,15
ll,2
feel,2
good place,2
good,2
didn,2
dorothy perkins,2
found,4
special,2
st andrews square,2
james shopping centre,2
reason,2
river island,7
put,2
couldn,2
sports direct,4
place,12
isn,2
frequent,2
fancy,2
shopping centre,7
size,3
city,2
top,2
wandering,3
1960,2
mid,2
centre,5
connected,2
don,6
clean,2
fact,3
shop,5
fine,3
find,10
busy,3
means,2
feels,4
food court,2
lots,2
review,2
tend,2
james centre,2
jammed,2
tiny,2
shopping,6
hmv,2
bit depressing,2
understand,2
st james centre,5
shops,10
ve,4
ilk,2
things,2
make,3
chavvy,2
purpose,3
ryman,3
centres,2
harvey nicks,2
stores,3
jenners,2
rest,2
day,2
bigger,3
shopping area,2
big,2
bit,4
large john lewis,2
people,2
opposite,2
eyesore,2
exit,2
business,2
negatives,2
location,2
road,4
ladies,2
multrees walk,2
area,2
low,2
lot,4
offer,3
eat,3
city centre,2
inside,2
st james,5
doesn,4
republic,2
nice,2
building,6
post office,2
superdrug,4
time,3
