name,count
good food,3
atmosphere,2
huge place,2
paris,2
ambience,2
friendly,4
fan,2
royal mile,8
friendly staff,2
quick,2
enjoy,2
tired,2
bacon,2
steaks,2
burger,2
street,2
drinks,4
waiting,2
calzone,3
groups,2
wait,5
great,4
makes,2
options,2
sake,2
plastered,2
visit,2
sort,2
popped,2
filling station,10
dismal,2
great place,3
shame,2
worth,5
share,2
sit,3
edinburgh,8
stop,2
spot,2
baguette sandwich,2
honestly,2
order,5
ended,2
cold,2
main,2
wouldn,3
good,9
food,16
walls,3
hands,2
day,5
meat,4
didn,4
eleanor,2
filling,2
reasonable,2
meal,2
eh,2
fish,2
group,3
good variety,2
expect,3
pretty good,3
put,2
bothered,2
ate,4
terrible,2
times,3
american,5
place,22
isn,3
castle,2
waitress,2
meatball calzone,2
cheese,2
long,3
wasn,2
quality,2
guess,2
service,9
tourists,3
hotel,2
luckily,2
boyfriend,2
applebee,2
seated,2
matter,2
states,2
outstanding,2
mine,2
breakfast,2
sat,2
scotland,4
plenty,2
don,5
huge portions,2
clean,3
fact,3
walking,2
fine,2
staff,5
busy,4
menu,4
means,2
watch,2
appetizer,2
chips,6
bar,3
bad,4
grab,4
inside,2
fries,3
mind,2
seat,5
cocktails,2
close,3
packed,3
lots,2
side,2
omg,2
restaurant,3
asked,3
simple,2
pop,2
table,6
expensive,3
potato skins,2
vacation,2
beer,2
applebees,2
location,2
bar staff,2
prices,6
attentive,2
case,2
reliable,2
bill,2
weren,2
taking,2
mistake,2
ve,4
disappointing,3
middle,2
decor,2
make,4
couple,2
drink,4
hang,2
lunch,3
thought,3
burgers,8
hot dogs,2
nachos,3
rest,2
mcdonald,3
high street,3
easy,2
wet,2
big,2
world,2
bit,4
helpful,2
inviting,2
chairs,2
50,2
night,2
people,2
advertise,2
/,2
beating,2
dinner,3
afternoon,2
fast,2
stuck,2
lot,3
offer,3
back,3
eat,3
portions,2
average,2
ordered,4
taste,3
doesn,3
tasty,6
mediocre,2
trip,2
variety,2
nice,6
star,2
forgot,2
friends,2
yelp,2
walked,2
time,6
