name,count
large group,2
dish,3
barbecue,2
bit heavy,2
veg,2
bulgogi,2
marvellous,2
pork,2
chef,2
waitress,2
opted,3
enjoyed,2
wait,2
great,2
finally,2
sharing,2
warm,2
high,2
worth,2
ong gie,3
hot,2
edinburgh,2
prawns,2
wine,2
hoped,2
signs,2
group,2
ll,2
main,2
good,4
return,2
food,4
front,2
bibimbap,2
meat,3
found,2
side,2
owner,2
expect,2
special,2
wanted,2
place,2
delicious,2
wasn,5
service,4
start,2
ordering,2
option,2
apologise,2
apparently,2
mains,4
bring,2
menu,4
starters,3
rice,4
meant,2
kimchi,2
lots,2
korean food,3
restaurant,4
forgotten,2
enjoyable,2
wall,2
pot,2
beef,2
quickly,2
lovely,2
bbq,2
4,2
grills,2
ve,3
dumplings,2
evening,2
party,2
drink,3
running,2
left,3
love,3
bit,5
night,3
served,2
didn,2
people,2
table,5
blythe,2
meal,3
dinner,3
visit,2
lot,2
offer,2
pleased,2
back,2
ordered,2
tasty,5
tasteless,2
nice,6
time,3
