name,count
spicy sausage,2
worth,3
waiters,3
returning,2
papilio,8
drinks,2
wait,2
great,2
family,2
recommend,3
starter,2
great place,2
spaghetti carbonara,2
friendly,4
italian restaurant,2
pizza,2
edinburgh,5
wouldn,2
good,6
food,7
lunch,3
didn,5
meal,2
special,3
feel,3
fancy,2
delicious,2
tasted,2
cosy,2
don,2
place,3
atmosphere,4
staff,2
busy,2
menu,3
steak,2
decided,2
restaurant,5
walk,2
table,2
ve,2
couples,2
make,3
moment,3
bit,2
highly recommend,2
service,6
dinner,3
lot,3
head,2
back,5
made,2
doesn,3
booked,2
time,2
fresh,2
