name,count
drinks,4
busy,2
makes,3
love,2
rarely,2
town,2
beautiful,2
edinburgh,2
classy,2
late,2
good,3
day,2
library bar,7
books,3
days,2
place,4
floors,5
part,2
don,2
student union,2
atmosphere,2
cheap,2
find,3
staff,2
wood,2
pretty,2
bar,8
wall,2
expensive,3
union,3
food,5
levels,3
burgers,2
tables,2
easy,2
bit,3
night,2
back,4
library,4
price,2
decent selection,2
pasta,2
range,2
start,2
lot,2
eat,2
comfy couches,2
nice,4
students,2
glass cabinets,2
friends,3
