name,count
sashimi,3
disclaimer,2
options,2
bento box,4
hot pot,2
town,3
soup,3
give,4
edinburgh,4
choice,2
order,5
ended,2
good,6
food,9
day,2
found,2
pretty good,2
wanted,2
thing,4
place,4
waited,2
miso,2
wasn,4
service,6
tastes,2
apparently,2
miso soup,6
buffet,2
plenty,2
don,4
cheap,3
find,5
rice,2
decided,2
lots,2
review,2
table,2
beef,2
ve,3
wouldn,2
sushi,11
things,2
make,2
tuna,3
money,2
tables,2
bit,5
people,4
back,4
home,3
eating,2
tofu,2
lot,5
eat,6
made,2
eat sushi,2
ordered,4
doesn,2
tasty,5
nice,3
felt,2
time,4
