name,count
underdogs,2
worth,4
venue,2
haggis,7
enjoy,3
bacon,6
chef,4
street,2
modern twist,2
eggs,2
told,4
williams red ale,2
perfectly cooked,2
items,2
fantastic,3
brought,3
call,2
recommend,8
type,2
glass,3
warm,3
excellent,7
£5,3
word,3
room,4
totally worth,2
give,8
veggies,2
times,2
end,5
turn,2
amazing,11
low,2
answer,2
yum,2
dark chocolate,2
excellent food,3
suggest,3
order,7
wine,12
satisfied,4
london,2
bread,7
meat,7
filling,4
reasonable,3
meal,14
mashed potatoes,2
wanted,8
ate,5
days,5
isn,2
delicious,16
wasn,10
service,20
top,6
needed,2
dogs,38
serve,2
seated,5
speaking,2
feeling,3
modern,3
flavorful,2
mint,2
hearty,4
plenty,3
don,11
dog,6
reputation,2
subtle,2
enjoyed,9
busy,5
menu,25
explain,2
theme,2
rich,4
rice,2
plate,7
appetizer,4
flat iron steak,4
bar,6
nicely,2
bad,3
steak,9
decided,7
result,2
00,2
lots,4
omg,2
rolled,2
high quality,2
kitchen,2
received,2
fault,4
neeps,2
asked,7
beef,3
quickly,2
beer,6
lovely,3
website,2
personally,4
worked,2
air,4
weren,5
broth,3
nice atmosphere,2
things,2
make,11
wooden chairs,2
couple,7
fairly,2
greeted,2
delight,3
great location,2
butter,3
shortly,2
left,5
kale,2
rushing,2
character,2
easy,3
5 stars,2
gave,2
unique,3
night,8
antique,2
people,7
/,2
booking,3
unusual cuts,2
rice pudding,2
benches,2
dinner,11
stop,2
carafe,2
happy,3
head,2
offer,4
flavour,5
amore dogs,2
inside,3
trip,2
floor,4
felt,6
polite,4
weekend,2
time,17
reviewers,2
cheap,6
choice,2
cool,2
guy,2
pork,3
work,3
chicken,5
drinks,4
shared,2
mussels,2
water,8
appears,2
wait,7
boy,2
stew,2
love,19
visit,7
creamy,3
share,4
acceptable,2
great place,4
reviews,2
soup,4
figure,2
sunday,2
edinburgh,22
spot,9
mac,4
date,2
generous helping,2
talk,2
cute,3
serving,2
ended,2
cuts,3
cold,4
skirlie,4
interesting,6
window,4
main,8
lunch,9
didn,17
cool place,2
ice cream,3
opened,2
advance,2
couldn,4
waiter,10
honest,3
thing,4
funky,2
place,42
waited,3
cheese,7
americans,2
fast,3
size,4
city,3
bite,2
nice touch,2
bits,2
friend,5
quirky,6
boyfriend,2
future,2
apples,2
tasted,3
slap,2
sat,2
efficient,2
note,2
interior,2
wanting,3
price,5
knew,4
paid,3
fills,2
seafood,2
yelped,2
hungry,3
salt,3
walking,2
mains,2
bright,2
good service,2
portions,9
gem,2
seat,2
hearty food,3
review,3
welcoming service,2
3,2
diners,2
recent visit,2
shopping,2
squash,3
paying,2
accommodating,2
wait staff,3
evening,3
pay,3
check,2
struggling,2
favorites,2
seadogs,3
magical,2
bottle,5
grumpy,2
money,3
rest,2
flavor,2
thinking,2
4,4
read,5
early,2
world,2
server,3
served,12
seating,2
cool decor,2
chefs,2
side,10
stand,3
tatties,2
start,5
lot,4
jug,3
rush,2
huge fan,2
smoked garlic butter,2
reasonable prices,2
taste,5
tasty,10
5,4
requested,2
booked,3
wife,4
forget,2
dish,8
presentation,3
woman,2
sitting,3
comfort foods,2
heaven,2
large,2
small,7
streets,2
past,3
burger,4
pass,2
choices,4
casual,4
opted,6
full,7
shouldn,4
standard,2
experience,8
pick,2
family,2
change seasonally,2
chicken liver risotto,2
6,5
door,2
glad,7
town,9
hour,3
stated,2
cloying,2
rude,2
advice,2
coming,2
short,3
mustard sauce,2
interesting menu,2
20,2
wouldn,6
good,30
return,3
food,42
easily,3
courses,3
stopped,7
man,2
found,9
heavy,2
upstairs,3
fish,9
hanover st,2
ox shin,4
7,2
quick,2
reason,2
reasonable price,3
put,2
expecting,3
feel,8
bland,2
miss,2
guess,2
wonderful,5
luckily,2
part,3
stairs,4
kind,7
uncomfortable,2
outstanding,3
scotland,2
added,2
salmon,3
puddings,3
yelp reviews,2
clear,2
traditional,2
fine,5
find,11
pretty,3
hit,3
feels,2
red wine,2
restaurants,6
art,2
flavours,2
tender,3
visiting,2
pictures,3
wow,3
won,2
mouthful,2
barley risotto,2
restaurant,18
point,4
simple,9
sweet,2
scottish,2
expensive,3
finally,2
cream,2
mind,2
priced,5
pricey,2
understand,2
liver,2
prices,7
bill,5
fun,5
decoration,2
ready,2
funny,3
decor,6
banter,2
arrived,2
cheek,2
questions,2
tables,6
disappointed,3
parents,2
location,2
surprised,3
customers,2
big,2
bit,15
creaminess,2
braised rabbit,2
stylish,3
pan fried hake fillet,2
highly recommend,5
back,17
trendy,3
curious,2
wine list,2
run,2
remembered,2
smoked fish potato cake,2
delish,2
mouth,5
affordable price,2
impressed,3
long,2
great ambiance,2
city centre,2
fries,2
uk,4
ordered,16
entrance,2
doesn,4
home,2
delicious food,2
nice,10
reservation,12
meals,4
walked,3
cooked,12
fresh,2
good food,3
desserts,4
friday night,2
ambience,2
friendly,9
waiters,2
dessert,10
putting,2
mixing,2
asparagus,3
lemon posset,5
black pudding,2
fellow americans,2
sausage,2
giving,2
waiting,2
desired,2
great atmosphere,2
great,12
30,2
opinion,3
makes,7
apple,2
duck,2
&,2
sort,6
popped,2
mismatch,2
rabbit,3
starter,5
salad,2
heaving,2
reserved,2
tad,3
carrot,2
pulling,2
onions,2
