name,count
raining,2
personally,3
worth,12
chili cheese,2
haggis,46
shows,3
enjoy,6
street,9
great idea,2
told,7
dry,7
fantastic,4
explained,2
recommend,9
type,2
excellent,4
£4,4
£3,4
room,2
totally worth,2
work,2
give,4
hog,9
end,6
thing,21
buns,3
mouth watering,3
wrong,3
sweet apple sauce,2
south,3
order,12
pork rolls,2
gents,2
dead pig,2
tourist,2
combination,4
vegetarian friends,2
bread,13
meat,27
filling,6
meal,5
forgot,3
hog roasts,2
wanted,5
ate,6
days,6
isn,8
delicious,22
wasn,11
service,4
top,12
big deal,2
needed,3
brown roll,7
serve,5
eat pork,2
friend,2
feeling,2
fast food,2
mind,2
mine,6
talking,2
stomach,3
recommended,2
gravy,2
mouth,7
plenty,3
don,19
hunger,2
sage,15
enjoyed,3
busy,5
menu,10
folks,2
stop,9
apple sauce,34
relish,3
bap,2
bad,2
fair,3
decided,3
//www,3
asked,11
cuz,2
trust,3
quickly,3
expected,2
life,5
search,2
pulled pork,12
child,2
chili,2
medium size,2
weren,2
suppose,2
stopping,2
balance,2
shame,2
experience,5
things,5
make,14
entitled,2
pick,4
greeted,2
delight,2
marched,2
chilli cheese sauce,2
possibly,2
hearty,2
yep,2
spread,2
board,2
easy,5
5 stars,2
give oink,2
wanting,2
night,3
people,7
pork crackling,2
topping,3
phenomenal,2
oinktastic,2
vegans/vegetarians,2
afternoon,2
raised,2
grabbed,2
happy,6
fork,2
head,7
medium,10
offer,3
back,21
inside,4
soft roll,2
door,5
check,3
roll,16
juices,2
felt,3
weekend,2
time,24
quick bite,6
yummy,4
finally,3
brown,5
walked past,4
choice,12
leave,5
guy,4
pork,38
regret,3
cost,2
run,3
drinks,2
melt,3
reminiscent,2
filled,4
water,4
wait,5
brilliant,3
roasted hog,2
queue,4
love,11
market,2
visit,8
live,4
chilli cheese,2
today,4
great place,7
reviews,5
apple relish,2
awesome,3
incredible,2
1,4
edinburgh,41
quick meal,2
spot,5
guys,2
man,2
white roll,4
pulled,2
cute,2
years,3
amazing,6
window,37
offers,2
happened,4
lunch,10
half,4
arriving,2
didn,11
intrigued,2
yeah,3
happen,3
space,3
care,2
couldn,7
honest,4
place,49
massive,2
americans,2
fast,4
size,12
city,6
necessarily,2
bite,5
2,7
white,12
pulled pork rolls,2
wandering,5
pro,2
decent bread,2
tastes,2
sat,2
note,3
price,8
knew,2
napkin,2
hungry,10
review,4
shop,4
walking,5
cracklins,2
cheap,7
corner,2
tend,2
crackling,24
