name,count
lack,2
fireplace,2
drinks,5
sun,2
great,3
visit,2
friendly,3
soup,2
give,2
shore,4
granary,6
food,9
front,2
day,3
didn,5
stopped,3
found,4
meal,2
expect,2
pub,3
standard,2
pleasant,2
mac,2
times,5
place,9
waitress,2
cheese,2
open,3
service,4
friend,2
part,2
visited,5
interior,2
atmosphere,2
cheap,2
fine,3
find,2
staff,4
menu,2
chips,2
bar,4
seat,2
decided,2
lots,2
won,2
terms,2
restaurant,2
disappointment,2
lovely,2
good location,2
ve,4
good,2
make,5
finish,2
drink,4
burgers,2
summer,2
location,3
gave,2
bit,2
served,3
back,7
night,2
impressed,3
area,3
friends,2
lot,2
hear,3
eat,4
places,2
ordered,5
nice,8
time,4
alright,2
