name,count
finally,2
dessert,2
royal mile,10
beer taster,2
haggis,9
enjoy,3
ale pie,2
wait,3
great,5
traditional pub,2
charming,2
ate,3
beers,2
excellent,4
glad,2
share,2
onions,2
lamb,3
exceptional,3
edinburgh,7
remember,3
order,2
hot,2
sauce,2
good place,2
food,10
lunch,4
day,3
didn,3
stopped,2
side,3
fish,5
ice cream,2
haggis fritters,4
pretty good,2
pub,4
wanted,2
times,2
place,7
delicious,6
service,6
touristy,2
friend,2
scotland,5
drinks,2
gravy,2
don,2
walking,2
enjoyed,2
rich,2
stop,2
chips,7
bar,2
bad,2
steak,3
husband,2
great food,2
restaurant,2
sweet,2
table,2
decent,3
royal mcgregor,2
life,2
wait staff,2
ve,2
good,8
great location,2
thought,3
served,3
highly recommend,2
back,2
mood,2
good selection,2
sticky toffee pudding,4
meal,2
dinner,2
tatties,3
made,2
ordered,2
trip,2
nice,3
warm,3
time,2
