name,count
desserts,3
attentive,2
worth,6
eve,2
small,2
accommodating,2
tea,2
opted,4
full,4
great,5
vegetarian,3
experience,2
opinion,2
spices,2
lassis,2
visit,4
excellent,3
town,2
friendly,3
give,4
mango lassi,2
end,3
pudding,2
edinburgh,5
par,2
wrong,2
order,2
interesting,2
good,10
food,11
disappoint,2
meat,4
didn,5
filling,2
year,2
good ambiance,2
miss,2
terrible,2
place,6
veggie,2
downside,2
delicious,9
wasn,3
quality,2
service,10
ordering,2
needed,3
friend,4
dal,2
visited,2
garlic naan,2
dosas,2
dishes,2
efficient,2
don,2
mains,2
find,3
staff,4
rice,2
beat,2
husband,2
vegetarian reviewers,2
vegan thali,2
restaurant,3
point,2
simple,2
decent,3
lived,2
priced,2
presented,2
bill,2
wait staff,2
ve,3
partner,2
onion /garlic allergy,2
decor,3
make,2
trip,2
left,2
recommend checking,2
kalpna,6
aspect,2
nice cup,2
5 stars,2
bit,4
disappointed,2
helpful,2
night,4
served,2
back,2
okra,2
service charge,2
thali,2
eating,3
found,2
curry,3
highly rated,2
accommodate,2
included,2
mosque kitchen,2
vegetables,2
stars,2
spicy,2
restaurant experience,2
doesn,3
tasty,4
tip,2
nice,3
time,3
decorated,2
cooked,2
