name,count
great thought,2
bring,2
"edinburgh 

july 1",2
enjoyed,3
staff,7
menu,3
house wine,2
farmer,2
2014,2
loved,3
good,3
dalry,2
made,2
food,7
dignity,2
beautiful comfy sofa seats,2
didn,2
house red,2
served,2
fair,2
fish,2
back,5
arrived 10,2
cozy,2
super friendly,2
tiramisu,4
lovely rich montipolcino,2
worked,2
full,2
45pm,2
mozzarella,2
kitchen,2
great,4
restaurant,4
brilliant,2
fairly swish place,2
eat late,2
place,4
great menu,2
delicious,3
table,2
olives,3
needed,2
2,2
time,3
wait,2
horses,2
recommend,2
superb bread,2
glass,4
warm,2
yelp review,2
ésistance,2
attentive,2
lovely,3
places,2
mia italian restaraunt,2
closing,2
happy,2
splendid visit,2
thought,2
dishes,2
mia,2
tomato sauce,2
pis de,2
fields late,2
butter,2
good wine,2
sp,2
prawns,2
looked,3
lovely sea bass,2
ciao mia,2
hard time,2
make,2
wine,3
