name,count
masala dosa,3
worth,3
cost,2
visit,2
recommend,2
door,2
99,2
95,2
£2,2
friendly,2
lamb dosa,3
place,3
edinburgh,2
authentic,3
order,3
wine,2
nom,2
good,4
food,6
lunch,2
didn,2
filling,2
side,2
lentil,2
free glass,2
thing,2
wasn,2
service,3
top,2
friend,2
dosas,3
price,2
cheap,2
rice,2
plate,2
mezbaan,5
restaurant,2
mushroom,2
prices,2
ve,2
check,2
left,3
dosa,6
big,2
soft,2
people,2
dinner,2
fast,2
ordered,3
sambar,2
taste,2
tasty,2
nice,2
potato,2
fresh,2
time,3
