name,count
london,2
red bean,2
taiwan,3
find,2
menu,2
ll,3
sugar,5
add,2
choose,3
worth,2
milk tea,2
choice,3
bubble tea,5
bubbles,2
disappointed,2
50,2
asia,4
large,2
good,2
found,3
love,2
people,2
tea,3
back,3
ice,4
expensive,4
amount,2
place,4
isn,2
sweetness,3
frequent,2
sweet,3
city,2
iced,2
taste,2
happy,3
boba,2
£3,2
chatime,5
home,2
hot milk tea,2
winter,2
things,2
hot,3
branch,2
drinks,3
edinburgh,5
drink,3
lot,2
time,3
bubble tea shop,2
