name,count
manager,2
love thai food,2
dish,6
pad thai,9
attentive,2
worth,4
sitting,2
cheap,2
fan,2
cool,3
wait,6
things,3
leave,2
quick,6
pork,4
tired,2
uk,4
drinks,2
turn,2
soup,2
enjoyed,4
hungry,4
waited,2
told,3
full,3
water,2
busy,7
saturday night,2
great,3
kudos,2
healthy,2
queue,3
amount,6
opinion,2
makes,2
options,3
fantastic,2
love,6
brought,3
thailand,3
snacks,2
visit,6
recommend,7
type,2
door,2
glass,2
excellent,4
glad,2
£3,2
town,2
great place,4
salad,4
reviews,2
mr,2
arrive,2
give,2
share,4
heard,5
huge,2
beef,2
end,3
sit,5
dinner,8
6pm,2
dessert,2
speedy,2
edinburgh,14
choice,2
authentic,2
remember,3
order,4
wine,2
cute,2
20 minutes,2
ended,2
london,2
style,2
group,5
ll,5
late,3
window,4
main,4
spot,2
return,4
food,19
lunch,7
day,4
easily,2
warned,2
university,2
ting thai,5
filling,3
reasonable,2
found,4
side,6
cost,2
expect,3
80,5
space,5
surprise,3
city,3
ting thai caravan,8
friday,2
put,2
wanted,2
red curry,2
chilli,3
sticky rice,2
waiter,2
days,2
times,2
place,13
isn,2
top,2
waitress,2
feel,3
lettuce,2
fast,5
delicious,14
wasn,9
quality,2
service,12
super busy,2
luckily,2
part,2
thai,2
yum,2
ew,2
seated,4
flavour,2
friend,6
people waiting,2
tasted,2
good price,2
flavorful,2
mind,2
prawns,4
lunchtime,2
orders,2
sat,4
8pm,2
dishes,7
note,2
green curry,3
price,2
looked,2
duck dish,2
fact,4
atmosphere,3
show,3
mains,3
corner,2
chicken,4
find,4
staff,3
slow,2
nice,2
menu,11
won,2
8,4
rice,3
amazing,3
hope,2
meant,2
hit,2
2,2
5 minutes,3
whilst,2
packed,2
affordable,2
coconut rice,3
grab,2
steak,2
fair,3
seat,5
flavours,2
decided,4
noodles,8
lots,4
review,2
chewy,2
perfect,2
attention,2
hours,2
figured,3
restaurant,8
fault,2
called,2
asked,5
point,2
sweet,4
pop,2
walk,2
table,9
due,2
curries,2
combined,2
box,2
life,2
sweet potato crispies,3
prices,4
bill,3
cash,3
choices,2
mistake,2
noticed,2
ve,8
main dishes,2
shame,2
good,9
decor,2
pay,2
make,2
pad,2
plates,2
week,4
hang,2
moment,2
arrived,2
person,5
moo yang,2
left,3
rest,2
thumbs,2
seats,2
cut,2
thinking,2
disappointed,2
excited,4
couple,2
makes sense,2
boxes,3
bit,8
night,4
served,6
didn,6
people,8
30,3
highly recommend,2
back,12
trendy,3
5,2
ve eaten,2
good reviews,2
goong frong beer,2
eating,4
fellow diners,2
cozy,2
linger,2
meal,7
book,2
quickly,6
friends,2
long,2
meals,2
street food,2
start,2
lot,7
happy,2
head,3
spicy,3
6,3
bowls,2
don,12
line,3
eat,5
spice,5
made,6
portions,4
portion size,2
sort,2
ordered,11
taste,4
doesn,2
sharing,2
tasty,3
home,2
work,2
check,3
fill,2
ingredients,2
generally,2
£10,2
star,2
prepared,3
weekend,2
sides,3
yelp,3
walked,2
portion,2
thai food,7
time,11
fresh,2
