name,count
concept,2
chain,5
prices,3
dish,5
pad thai,3
veg,3
finally,3
friendly,4
busy,4
sitting,3
dessert,3
cook,2
ramen,9
list,2
quick,6
round,2
enjoy,2
cost,2
enjoyed,2
waiting,2
shared,2
told,3
wait,4
great,6
daughter,2
healthy,2
changed,3
queue,3
love,5
working,2
visit,4
broth,5
door,2
helped,2
work,2
give,3
awesome,2
end,5
sit,3
write,2
ordered drinks,2
edinburgh,12
wrong,3
3 years,2
favourites,2
order,5
years,2
london,3
cold,2
perfect,2
amazing,3
main,2
eventually,2
good,10
food,18
half,3
front,2
didn,6
found,2
meal,5
delicious,8
hard,2
chain restaurant,2
leave,2
missed,2
reason,3
wagamama,17
put,2
ate,3
couldn,2
terrible,2
times,5
thing,5
place,9
waitress,5
miso,2
dont,2
chili oil,2
feel,3
fast,2
wasn,3
service,10
ordering,4
top,3
2,2
serve,2
review,3
loved,2
12,2
seated,5
supposed,2
tasted,3
orders,2
dishes,7
efficient,2
price,3
plenty,4
check,2
don,6
looked,2
clean,2
left,3
fact,4
pork ramen,2
chicken,4
fine,2
find,3
staff,4
hadn,2
menu,6
pretty,3
rice,2
plate,2
means,2
stop,2
manager,2
husband,2
restaurants,2
noodles,5
lots,2
wow,2
edamame,2
attention,2
recently,3
restaurant,3
fault,2
ll,2
sweet,2
table,13
expensive,3
quickly,5
gyoza,4
lovely,4
location,2
tasteless,2
priced,2
chili,2
sauce,3
bill,3
weren,2
ve,9
disappointing,2
ready,3
walked,2
make,3
bowl,2
admit,3
plates,2
week,2
hand,2
arrived,2
lunch,2
thought,2
blow,2
tables,2
day,2
add,2
big,2
bit,6
disappointed,4
onion,2
10 minutes,2
served,5
people,3
back,11
mixed,2
avoid,2
night,2
lothian road,3
udon noodles,2
introduced,2
tofu,2
payment,2
long,5
noticed,3
stars,2
happy,2
offer,3
expected,2
eat,2
made,3
places,3
problem,2
minutes,3
ordered,4
taste,7
moved,2
doesn,3
tasty,7
book,2
branch,2
nice,4
felt,2
fresh,5
opened,4
lot,3
wagamamas,3
soy sauce,2
portion,2
time,14
