name,count
brunch,2
yummy,2
haddock goujons,2
friendly,3
tea,2
opted,3
sun,2
visit,3
town,3
salad,2
reviews,2
fi,2
whilst,2
perfect,2
style,2
ll,3
coffee,3
good,3
food,2
porto,2
didn,4
side,2
carrot cake,2
couldn,2
place,4
delicious,2
wasn,3
service,2
top,2
needed,4
friend,2
curly fries,2
find,2
staff,2
busy,2
menu,3
stop,2
lucky,2
chips,2
restaurant,3
waiting staff,2
table,6
lovely,3
priced,2
mound,5
ready,2
make,2
thought,2
day,2
back,5
dinner,2
nice touch,2
forward,2
fish goujons,2
porto & fi,3
made,2
cake,2
tasty,3
book,2
nice,2
portion,2
time,2
