name,count
starter,3
worth,2
dessert,2
small,2
find,2
shared,2
full,2
saturday night,2
perfectly cooked,2
glad,2
town,2
friendly,3
pizza,2
edinburgh,4
wine,3
cute,2
lovely meal,2
main,5
good,2
food,4
meal,2
amaretto,2
couldn,2
place,3
delicious,2
locanda de gusti,4
plentiful,2
loved,2
kind,3
dishes,2
don,2
staff,2
menu,2
rich,2
limoncello,2
visiting,2
dates,2
restaurant,3
table,3
mozzarella,3
treat,2
lovely,2
naples,2
weren,2
ve,3
italy,3
thought,2
bottle,2
looked,2
served,2
italian,2
pasta,3
dinner,2
made,2
tasty,3
felt,2
reservation,2
friends,4
yelp,2
