name,count
managed,2
dish,3
glad,3
friendly,6
choice,2
bringing,2
leave,2
chef,2
drinks,3
supplied,2
waiting,3
chickpeas,2
shared,2
full,2
curry,3
flavoured,2
fellow diners,2
change,3
great,7
spiced,3
experience,5
fantastic,2
love,2
south india,2
chunks,2
chicken chettinadu,2
creamy,3
sort,2
basically,2
town,2
reviews,2
heard,2
veggies,2
lamb,4
end,4
thing,2
edinburgh,7
decor,2
tomato,2
remember,3
order,2
serving,2
indian restaurants,2
ll,5
choose,2
sauce,4
good,4
food,15
mention,2
hands,3
meat,3
didn,3
giving,2
side,2
hard,2
opened,4
quality,2
reason,2
put,3
poppadoms,3
waiter,3
place,5
isn,4
mouth,2
delicious,2
wasn,2
thick,2
service,4
spinach,2
flavourful,3
friend,3
gulab jamun,2
lot,4
kind,3
coconut,2
star anise,2
tastes,2
dosas,5
mint,2
strength,2
dishes,4
interior,2
indian food,5
20%,2
don,7
refreshing,2
lots,2
clean,2
ginger tea,2
lamb nilgiri,3
bring,2
chicken,2
find,4
staff,3
busy,2
nice,4
menu,6
3,2
starters,3
rice,3
hope,2
coconut rice,3
grab,2
lime pickle,2
flavours,2
review,3
cholas,9
meal,3
perfect,2
attention,2
mustard seeds,2
restaurant,6
fault,2
asked,2
point,3
lentil flour,2
table,4
crispy,2
due,2
kitchen,2
empty,2
prices,2
case,3
chutneys,2
ve,7
paratha,2
things,3
make,3
built,2
spices,3
thought,2
dosa,9
aubergine,2
march,3
6 times,2
bit,3
disappointed,3
night,3
served,3
people,2
back,8
home,2
4 weeks,2
hoping,2
curries,4
long,4
head,2
spicy,2
chatting,2
offer,2
dips,2
heat,2
removed,2
eat,2
made,6
portions,2
south indian food,3
ordered,4
sambar,2
taste,3
tasty,2
work,2
check,2
lemon,2
ingredients,2
chicken masala dosa,2
polite,2
yelp,2
time,4
